grinder,lrr_g_per_g,n,method,provenance
Niche,3.38,5,long-flush shots (~285 g water through 14 g dose); post-flush lumped retention,measured
Superjolly_MP64,3.30,5,long-flush shots; post-flush lumped retention,measured
