# Source: Angeloni et al. Appl. Sci. 13 (2023) 2688 -- transcribed from article tables (no repository). Joined to Table 1 conditions. on_grid = calibration 3x3 grid (T in {88;93.4;98} C x p in {6;9;12} bar); off_grid = the 12 validation points.
sample,variety,T_degC,p_bar,granulometry,on_grid,TR,TA,AA,CA,3CQA,5CQA,CF,FA,3_5diCQA,totCQA,totOA
R17,Robusta,88,6,C,True,2.5,2.41,9.57,15.78,2.19,2.87,6.53,0.37,0.39,5.46,27.77
R18,Robusta,98,9,C,True,2.56,2.41,9.67,15.73,2.05,2.95,6.57,0.33,0.37,5.36,27.81
R19,Robusta,98,12,C,True,2.3,2.26,11.35,14.17,1.93,2.67,6.22,0.32,0.35,4.94,27.79
R20,Robusta,98,6,C,True,2.7,2.55,11.14,17.64,2.25,3.04,7.33,0.4,0.44,5.73,31.33
R21,Robusta,97,7,C,False,2.67,2.6,12.75,16.1,2.26,3.16,7.31,0.36,0.43,5.84,31.45
R22,Robusta,89,10,C,False,2.57,2.56,13.62,16.3,2.4,2.83,6.99,0.35,0.38,5.61,32.48
R23,Robusta,93.4,9,F,True,3.17,2.99,6.54,18.41,2.64,3.92,8.36,0.54,0.51,7.07,27.95
R24,Robusta,93.4,12,F,True,2.82,2.79,12.51,19.56,2.48,3.57,8.28,0.44,0.53,6.58,34.87
R25,Robusta,93.4,6,F,True,2.99,2.4,8.37,16.3,2.21,3.17,7.39,0.45,0.4,5.78,27.08
R26,Robusta,88,9,F,True,3.19,3.19,12.7,21.47,3.09,3.85,8.8,0.51,0.52,7.46,37.36
R27,Robusta,88,12,F,True,2.85,2.71,14.29,18.76,2.35,3.48,7.81,0.42,0.49,6.32,35.76
R28,Robusta,88,6,F,True,3.19,3.14,16.36,20.66,2.83,3.96,9.15,0.46,0.53,7.32,40.16
R29,Robusta,98,6,F,True,2.59,2.45,8.71,16.76,2.26,2.99,7.39,0.42,0.51,5.77,27.92
R30,Robusta,98,9,F,True,2.7,2.52,10.97,17.52,2.26,3.34,7.51,0.41,0.48,6.08,31.01
R31,Robusta,98,12,F,True,2.57,2.46,11.74,16.71,2.33,3.19,7.1,0.42,0.44,5.96,30.9
R32,Robusta,95,11,F,False,2.54,2.49,8.8,18.06,2.3,3.26,7.68,0.4,0.45,6.01,29.35
R33,Robusta,90,8,F,False,2.78,2.64,9,18.09,2.22,3.33,7.58,0.41,0.49,6.05,29.73
