campaign_id,condition_id,source_experiment_id,shot_id,physical_replicate_id,fraction_id,fraction_start_s,fraction_end_s,fraction_liquid_g_or_ml,fraction_basis,analyte,concentration_value,concentration_unit,analyte_mass_mg,mass_derivation,validity,exclusion_reason,source_id,source_object_or_cell,measurement_kind
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,5,24.01579073,30.13089533,5.8094,MEASURED_MASS_G,caffeine,2.68035515,mg/g,15.57125523,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,5,24.01579073,30.13089533,5.8094,MEASURED_MASS_G,trigonelline,1.07699384,mg/g,6.256688,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,5,24.01579073,30.13089533,5.8094,MEASURED_MASS_G,5CQA,1.57936197,mg/g,9.1751454,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,5,24.01579073,30.13089533,5.8094,MEASURED_MASS_G,CQA_sum,3.20245656,mg/g,18.60435116,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,5,24.01579073,30.13089533,5.8094,MEASURED_MASS_G,TDS,4.99553576,percent,290.21065431,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,7,35.89842402,41.57384825,5.3917,MEASURED_MASS_G,caffeine,1.75979226,mg/g,9.48827191,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 7,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,7,35.89842402,41.57384825,5.3917,MEASURED_MASS_G,trigonelline,0.61834497,mg/g,3.33393056,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 7,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,7,35.89842402,41.57384825,5.3917,MEASURED_MASS_G,5CQA,1.03705309,mg/g,5.59147913,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 7,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,7,35.89842402,41.57384825,5.3917,MEASURED_MASS_G,CQA_sum,2.14934527,mg/g,11.58862491,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 7,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,7,35.89842402,41.57384825,5.3917,MEASURED_MASS_G,TDS,2.79981068,percent,150.95739259,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 7,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,10,53.54184923,59.10727441,5.2872,MEASURED_MASS_G,caffeine,1.04623483,mg/g,5.5316528,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 10,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,10,53.54184923,59.10727441,5.2872,MEASURED_MASS_G,trigonelline,0.29545976,mg/g,1.56215484,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 10,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,10,53.54184923,59.10727441,5.2872,MEASURED_MASS_G,5CQA,0.58711773,mg/g,3.10420884,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 10,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,10,53.54184923,59.10727441,5.2872,MEASURED_MASS_G,CQA_sum,1.20064733,mg/g,6.34806257,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 10,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,10,53.54184923,59.10727441,5.2872,MEASURED_MASS_G,TDS,1.56554897,percent,82.77370495,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 10,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,1,0,3.23342217,3.067,MEASURED_MASS_G,caffeine,9.60224993,mg/g,29.45010055,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,1,0,3.23342217,3.067,MEASURED_MASS_G,trigonelline,6.74894774,mg/g,20.69902271,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,1,0,3.23342217,3.067,MEASURED_MASS_G,5CQA,6.62968836,mg/g,20.33325421,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,1,0,3.23342217,3.067,MEASURED_MASS_G,CQA_sum,13.92008109,mg/g,42.69288869,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,1,0,3.23342217,3.067,MEASURED_MASS_G,TDS,26.39563764,percent,809.55420648,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,2,3.23342217,10.61863433,7.0051,MEASURED_MASS_G,caffeine,7.51548523,mg/g,52.64672562,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,2,3.23342217,10.61863433,7.0051,MEASURED_MASS_G,trigonelline,4.7398967,mg/g,33.2034504,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,2,3.23342217,10.61863433,7.0051,MEASURED_MASS_G,5CQA,5.08678075,mg/g,35.63340783,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,2,3.23342217,10.61863433,7.0051,MEASURED_MASS_G,CQA_sum,10.56692185,mg/g,74.02234427,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,2,3.23342217,10.61863433,7.0051,MEASURED_MASS_G,TDS,18.30244866,percent,1282.10483077,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,3,10.61863433,16.72913805,5.796,MEASURED_MASS_G,caffeine,5.06666568,mg/g,29.3663943,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 3,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,3,10.61863433,16.72913805,5.796,MEASURED_MASS_G,trigonelline,2.7932516,mg/g,16.18968629,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 3,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,3,10.61863433,16.72913805,5.796,MEASURED_MASS_G,5CQA,3.35174979,mg/g,19.42674179,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 3,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,3,10.61863433,16.72913805,5.796,MEASURED_MASS_G,CQA_sum,6.99040452,mg/g,40.51638462,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 3,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,3,10.61863433,16.72913805,5.796,MEASURED_MASS_G,TDS,10.4600293,percent,606.26329805,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 3,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,5,22.98291601,29.03954694,5.7449,MEASURED_MASS_G,caffeine,2.71509979,mg/g,15.5979768,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,5,22.98291601,29.03954694,5.7449,MEASURED_MASS_G,trigonelline,1.14807514,mg/g,6.59557688,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,5,22.98291601,29.03954694,5.7449,MEASURED_MASS_G,5CQA,1.65605745,mg/g,9.51388442,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,5,22.98291601,29.03954694,5.7449,MEASURED_MASS_G,CQA_sum,3.36577437,mg/g,19.33603716,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,5,22.98291601,29.03954694,5.7449,MEASURED_MASS_G,TDS,5.19465036,percent,298.42746855,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,7,34.67078307,40.42136168,5.4546,MEASURED_MASS_G,caffeine,1.69071466,mg/g,9.22217217,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 7,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,7,34.67078307,40.42136168,5.4546,MEASURED_MASS_G,trigonelline,0.60036838,mg/g,3.27476937,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 7,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,7,34.67078307,40.42136168,5.4546,MEASURED_MASS_G,5CQA,1.01650837,mg/g,5.54464656,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 7,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,7,34.67078307,40.42136168,5.4546,MEASURED_MASS_G,CQA_sum,2.10348276,mg/g,11.47365708,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 7,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,7,34.67078307,40.42136168,5.4546,MEASURED_MASS_G,TDS,2.76150238,percent,150.62890903,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 7,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,10,52.14475737,58.0200552,5.5729,MEASURED_MASS_G,caffeine,0.94396132,mg/g,5.26060204,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 10,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,10,52.14475737,58.0200552,5.5729,MEASURED_MASS_G,trigonelline,0.26196417,mg/g,1.45990015,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 10,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,10,52.14475737,58.0200552,5.5729,MEASURED_MASS_G,5CQA,0.53297973,mg/g,2.97024276,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 10,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,10,52.14475737,58.0200552,5.5729,MEASURED_MASS_G,CQA_sum,1.09840124,mg/g,6.12128025,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 10,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,10,52.14475737,58.0200552,5.5729,MEASURED_MASS_G,TDS,1.37453987,percent,76.60173254,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 10,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,1,0,5.33954303,5.0805,MEASURED_MASS_G,caffeine,9.51706873,mg/g,48.35146768,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,1,0,5.33954303,5.0805,MEASURED_MASS_G,trigonelline,6.21011125,mg/g,31.55047021,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,1,0,5.33954303,5.0805,MEASURED_MASS_G,5CQA,6.3264912,mg/g,32.14173855,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,1,0,5.33954303,5.0805,MEASURED_MASS_G,CQA_sum,13.22478355,mg/g,67.1885128,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,1,0,5.33954303,5.0805,MEASURED_MASS_G,TDS,23.70019521,percent,1204.08841771,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,2,5.33954303,12.14458331,6.4749,MEASURED_MASS_G,caffeine,6.87358008,mg/g,44.50574367,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,2,5.33954303,12.14458331,6.4749,MEASURED_MASS_G,trigonelline,3.96641328,mg/g,25.68212937,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,2,5.33954303,12.14458331,6.4749,MEASURED_MASS_G,5CQA,4.45672055,mg/g,28.85681986,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,2,5.33954303,12.14458331,6.4749,MEASURED_MASS_G,CQA_sum,9.17286129,mg/g,59.39335956,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,2,5.33954303,12.14458331,6.4749,MEASURED_MASS_G,TDS,16.15139317,percent,1045.78655662,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,3,12.14458331,18.40973121,5.9612,MEASURED_MASS_G,caffeine,4.86353936,mg/g,28.99253082,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 3,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,3,12.14458331,18.40973121,5.9612,MEASURED_MASS_G,trigonelline,2.52677139,mg/g,15.06258963,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 3,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,3,12.14458331,18.40973121,5.9612,MEASURED_MASS_G,5CQA,3.11227713,mg/g,18.55290645,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 3,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,3,12.14458331,18.40973121,5.9612,MEASURED_MASS_G,CQA_sum,6.46391917,mg/g,38.53271498,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 3,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,3,12.14458331,18.40973121,5.9612,MEASURED_MASS_G,TDS,9.53500604,percent,568.40078028,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 3,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,5,24.3675703,30.16439808,5.5156,MEASURED_MASS_G,caffeine,2.72537693,mg/g,15.03208898,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,5,24.3675703,30.16439808,5.5156,MEASURED_MASS_G,trigonelline,1.09212859,mg/g,6.02374447,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,5,24.3675703,30.16439808,5.5156,MEASURED_MASS_G,5CQA,1.61752717,mg/g,8.92163288,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R3,3,5,24.3675703,30.16439808,5.5156,MEASURED_MASS_G,CQA_sum,3.28354232,mg/g,18.11070601,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(3) fraction 5,SOURCE_DERIVED_ANALYTICAL
