sample_id,variety,observable_id,species_id,source_species_code,source_value,source_unit,source_basis,canonical_value,canonical_unit,canonical_basis,uncertainty_value,uncertainty_type,uncertainty_scope,uncertainty_status,source_derived,protected_target,source_path,source_row_lineage
A10,Arabica,bioactives,ferulic_acid,FA,0.27,g/L,directly_reported_beverage_volumetric_concentration,0.27,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A10
A10,Arabica,bioactives,tartaric_acid,TA,3.19,g/L,directly_reported_beverage_volumetric_concentration,3.19,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A10
A10,Arabica,bioactives,trigonelline,TR,3.19,g/L,directly_reported_beverage_volumetric_concentration,3.19,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A10
A10,Arabica,bioactives,total_chlorogenic_acids,totCQA,7.94,g/L,directly_reported_beverage_volumetric_concentration,7.94,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A10
A10,Arabica,bioactives,total_organic_acids,totOA,22.7,g/L,directly_reported_beverage_volumetric_concentration,22.7,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A10
A10,Arabica,lipids,total_lipids,LP,0.3,g/100 mL,directly_reported_beverage_volumetric_concentration,3.0,kg/m^3,beverage_volume,14.5,RSD_PERCENT,CONDITION_LEVEL,CONDITION_LEVEL_RSD_RETAINED,False,True,puckworks/data/angeloni2023/lipids.csv,A10
A10,Arabica,total_solids,,,9.57,g/100 mL,directly_reported_beverage_volumetric_concentration,95.7,kg/m^3,beverage_volume,0.4,RSD_PERCENT,CONDITION_LEVEL,CONDITION_LEVEL_RSD_RETAINED,False,True,puckworks/data/angeloni2023/total_solids.csv,A10
A11,Arabica,bioactives,3_caffeoylquinic_acid,3CQA,3.18,g/L,directly_reported_beverage_volumetric_concentration,3.18,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A11
A11,Arabica,bioactives,3_5_dicaffeoylquinic_acid,3_5diCQA,0.32,g/L,directly_reported_beverage_volumetric_concentration,0.32,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A11
A11,Arabica,bioactives,5_caffeoylquinic_acid,5CQA,5.93,g/L,directly_reported_beverage_volumetric_concentration,5.93,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A11
