sample_id,variety,temperature_C_source,temperature_K,pressure_bar_source,pressure_Pa,pressure_reference,grind_code_source,source_on_grid,source_shot_duration_s,basket_radius_m,bed_height_m,dose_nominal_kg,dose_tolerance_kg,beverage_mass_nominal_kg,beverage_mass_tolerance_kg,tamp_condition,source_dataset_id,source_path,source_row_lineage
A30,Arabica,88.0,361.15,12.0,1200000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,F,True,35.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A30
A31,Arabica,88.0,361.15,6.0,600000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,F,True,35.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A31
A32,Arabica,90.0,363.15,8.0,800000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,F,False,35.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A32
A33,Arabica,95.0,368.15,11.0,1100000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,F,False,35.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A33
A4,Arabica,88.0,361.15,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,True,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A4
A5,Arabica,88.0,361.15,6.0,600000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,True,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A5
A6,Arabica,88.0,361.15,12.0,1200000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,True,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A6
A7,Arabica,98.0,371.15,12.0,1200000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,True,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A7
A8,Arabica,98.0,371.15,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,True,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A8
A9,Arabica,98.0,371.15,6.0,600000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,True,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A9
R1,Robusta,93.4,366.54999999999995,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,True,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R1
R10,Robusta,96.0,369.15,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,False,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R10
R11,Robusta,91.0,364.15,8.0,800000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,False,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R11
R12,Robusta,93.4,366.54999999999995,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,True,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R12
R13,Robusta,93.4,366.54999999999995,12.0,1200000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,True,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R13
R14,Robusta,93.4,366.54999999999995,6.0,600000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,True,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R14
R15,Robusta,88.0,361.15,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,True,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R15
R16,Robusta,88.0,361.15,12.0,1200000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,True,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R16
R17,Robusta,88.0,361.15,6.0,600000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,True,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R17
R18,Robusta,98.0,371.15,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,True,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R18
R19,Robusta,98.0,371.15,12.0,1200000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,True,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R19
R2,Robusta,93.4,366.54999999999995,12.0,1200000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,True,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R2
R20,Robusta,98.0,371.15,6.0,600000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,True,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R20
R21,Robusta,97.0,370.15,7.0,700000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,False,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R21
R22,Robusta,89.0,362.15,10.0,1000000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,False,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R22
R23,Robusta,93.4,366.54999999999995,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,F,True,35.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R23
