observation_id,base_coffee_material_id,roast_batch_id,analytical_batch_id,replicate_id,source_publication_id,data_lineage_id,laboratory_id,analyte,value_as_published,unit_as_published,mass_basis_as_published,uncertainty_value_as_published,uncertainty_type,number_of_analytical_replicates,target_semantics,measurement_provenance,canonical_value,canonical_unit,canonical_uncertainty,conversion_rule_id,conversion_inputs,conversion_status,primary_prediction_label_eligible,exclusion_reason,validation_group_id
bruno-01,bruno_mexico,bruno_mexico_medium,not_reported,,bruno2026,bruno2026_table2,bruno_lab_unicam_rich,caffeine,8491.40,mg/kg,roasted coffee powder,64.22,SD,3,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,8.4914,mg/g roasted powder (basis unresolved),0.06422,mg_per_kg_to_mg_per_g,exact factor 0.001; no moisture conversion,EXACT_UNIT_ONLY_DRY_BASIS_UNRESOLVED,false,MASS_BASIS_UNRESOLVED_NO_SAME_BATCH_MOISTURE,vg_bruno2026_table2
bruno-02,bruno_rwanda,bruno_rwanda_medium,not_reported,,bruno2026,bruno2026_table2,bruno_lab_unicam_rich,caffeine,8615.33,mg/kg,roasted coffee powder,84.20,SD,3,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,8.61533,mg/g roasted powder (basis unresolved),0.0842,mg_per_kg_to_mg_per_g,exact factor 0.001; no moisture conversion,EXACT_UNIT_ONLY_DRY_BASIS_UNRESOLVED,false,MASS_BASIS_UNRESOLVED_NO_SAME_BATCH_MOISTURE,vg_bruno2026_table2
bruno-03,bruno_nicaragua,bruno_nicaragua_hard,not_reported,,bruno2026,bruno2026_table2,bruno_lab_unicam_rich,caffeine,15258.71,mg/kg,roasted coffee powder,57.04,SD,3,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,15.25871,mg/g roasted powder (basis unresolved),0.05704,mg_per_kg_to_mg_per_g,exact factor 0.001; no moisture conversion,EXACT_UNIT_ONLY_DRY_BASIS_UNRESOLVED,false,MASS_BASIS_UNRESOLVED_NO_SAME_BATCH_MOISTURE,vg_bruno2026_table2
bruno-04,bruno_indonesia,bruno_indonesia_hard,not_reported,,bruno2026,bruno2026_table2,bruno_lab_unicam_rich,caffeine,16607.39,mg/kg,roasted coffee powder,12.48,SD,3,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,16.60739,mg/g roasted powder (basis unresolved),0.01248,mg_per_kg_to_mg_per_g,exact factor 0.001; no moisture conversion,EXACT_UNIT_ONLY_DRY_BASIS_UNRESOLVED,false,MASS_BASIS_UNRESOLVED_NO_SAME_BATCH_MOISTURE,vg_bruno2026_table2
bruno-05,bruno_mexico,bruno_mexico_medium,not_reported,,bruno2026,bruno2026_table2,bruno_lab_unicam_rich,trigonelline,321.67,mg/kg,roasted coffee powder,8.96,SD,3,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,0.32167,mg/g roasted powder (basis unresolved),0.00896,mg_per_kg_to_mg_per_g,exact factor 0.001; no moisture conversion,EXACT_UNIT_ONLY_DRY_BASIS_UNRESOLVED,false,MASS_BASIS_UNRESOLVED_NO_SAME_BATCH_MOISTURE,vg_bruno2026_table2
bruno-06,bruno_rwanda,bruno_rwanda_medium,not_reported,,bruno2026,bruno2026_table2,bruno_lab_unicam_rich,trigonelline,305.83,mg/kg,roasted coffee powder,7.26,SD,3,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,0.30583,mg/g roasted powder (basis unresolved),0.00726,mg_per_kg_to_mg_per_g,exact factor 0.001; no moisture conversion,EXACT_UNIT_ONLY_DRY_BASIS_UNRESOLVED,false,MASS_BASIS_UNRESOLVED_NO_SAME_BATCH_MOISTURE,vg_bruno2026_table2
bruno-07,bruno_nicaragua,bruno_nicaragua_hard,not_reported,,bruno2026,bruno2026_table2,bruno_lab_unicam_rich,trigonelline,227.18,mg/kg,roasted coffee powder,10.85,SD,3,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,0.22718,mg/g roasted powder (basis unresolved),0.01085,mg_per_kg_to_mg_per_g,exact factor 0.001; no moisture conversion,EXACT_UNIT_ONLY_DRY_BASIS_UNRESOLVED,false,MASS_BASIS_UNRESOLVED_NO_SAME_BATCH_MOISTURE,vg_bruno2026_table2
bruno-08,bruno_indonesia,bruno_indonesia_hard,not_reported,,bruno2026,bruno2026_table2,bruno_lab_unicam_rich,trigonelline,220.58,mg/kg,roasted coffee powder,10.55,SD,3,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,0.22058,mg/g roasted powder (basis unresolved),0.01055,mg_per_kg_to_mg_per_g,exact factor 0.001; no moisture conversion,EXACT_UNIT_ONLY_DRY_BASIS_UNRESOLVED,false,MASS_BASIS_UNRESOLVED_NO_SAME_BATCH_MOISTURE,vg_bruno2026_table2
