source_publication_id,direction,rank,stable_id,screening_state,retrieval_date
viencz2023,BACKWARD,7,https://openalex.org/W1980914868,SCREENED,2026-08-25
viencz2023,BACKWARD,8,https://openalex.org/W2031812992,SCREENED,2026-08-25
viencz2023,BACKWARD,9,https://openalex.org/W2033146070,SCREENED,2026-08-25
viencz2023,BACKWARD,10,https://openalex.org/W2033188722,SCREENED,2026-08-25
viencz2023,BACKWARD,11,https://openalex.org/W2063687797,SCREENED,2026-08-25
viencz2023,BACKWARD,12,https://openalex.org/W2079960022,SCREENED,2026-08-25
viencz2023,BACKWARD,13,https://openalex.org/W2105415061,SCREENED,2026-08-25
viencz2023,BACKWARD,14,https://openalex.org/W2327710023,SCREENED,2026-08-25
viencz2023,BACKWARD,15,https://openalex.org/W2501155183,SCREENED,2026-08-25
viencz2023,BACKWARD,16,https://openalex.org/W2511072941,SCREENED,2026-08-25
viencz2023,BACKWARD,17,https://openalex.org/W2567566384,SCREENED,2026-08-25
viencz2023,BACKWARD,18,https://openalex.org/W2811340131,SCREENED,2026-08-25
viencz2023,BACKWARD,19,https://openalex.org/W2894672029,SCREENED,2026-08-25
viencz2023,BACKWARD,20,https://openalex.org/W2939085652,SCREENED,2026-08-25
viencz2023,FORWARD,1,https://openalex.org/W4392303364,SCREENED,2026-08-25
viencz2023,FORWARD,2,https://openalex.org/W4385069482,SCREENED,2026-08-25
viencz2023,FORWARD,3,https://openalex.org/W4406679431,SCREENED,2026-08-25
viencz2023,FORWARD,4,https://openalex.org/W4406985660,SCREENED,2026-08-25
viencz2023,FORWARD,5,https://openalex.org/W4410835729,SCREENED,2026-08-25
viencz2023,FORWARD,6,https://openalex.org/W4401281269,SCREENED,2026-08-25
viencz2023,FORWARD,7,https://openalex.org/W4389833749,SCREENED,2026-08-25
viencz2023,FORWARD,8,https://openalex.org/W4402735131,SCREENED,2026-08-25
viencz2023,FORWARD,9,https://openalex.org/W4402677870,SCREENED,2026-08-25
viencz2023,FORWARD,10,https://openalex.org/W4405847434,SCREENED,2026-08-25
viencz2023,FORWARD,11,https://openalex.org/W4414086509,SCREENED,2026-08-25
viencz2023,FORWARD,12,https://openalex.org/W4404092160,SCREENED,2026-08-25
viencz2023,FORWARD,13,https://openalex.org/W4412966864,SCREENED,2026-08-25
viencz2023,FORWARD,14,https://openalex.org/W4408385732,SCREENED,2026-08-25
viencz2023,FORWARD,15,https://openalex.org/W4412749405,SCREENED,2026-08-25
viencz2023,FORWARD,16,https://openalex.org/W4409510672,SCREENED,2026-08-25
viencz2023,FORWARD,17,https://openalex.org/W4414017595,SCREENED,2026-08-25
viencz2023,FORWARD,18,https://openalex.org/W4381434757,SCREENED,2026-08-25
viencz2023,FORWARD,19,https://openalex.org/W4393934812,SCREENED,2026-08-25
viencz2023,FORWARD,20,https://openalex.org/W4411801288,SCREENED,2026-08-25
acre2024,BACKWARD,0,NO_RESULTS_RETURNED,SCREENED_NO_RESULTS,2026-08-25
acre2024,FORWARD,1,https://openalex.org/W4401281269,SCREENED,2026-08-25
acre2024,FORWARD,2,https://openalex.org/W4400410782,SCREENED,2026-08-25
acre2024,FORWARD,3,https://openalex.org/W7162214794,SCREENED,2026-08-25
pannusch2024,BACKWARD,1,https://openalex.org/W592275239,SCREENED,2026-08-25
pannusch2024,BACKWARD,2,https://openalex.org/W2007680524,SCREENED,2026-08-25
pannusch2024,BACKWARD,3,https://openalex.org/W2061525977,SCREENED,2026-08-25
pannusch2024,BACKWARD,4,https://openalex.org/W2063245357,SCREENED,2026-08-25
