class,count
ASYMPTOTIC_EXTRACTION_ESTIMATE|ASYMPTOTIC_EXTRACTED_MASS,2
DIRECT_ROASTED_MATERIAL_ASSAY|TOTAL_ROASTED_CONTENT,224
MODEL_INFERRED_OR_FITTED|SOLID_PHASE_CONCENTRATION,2
