family,run_index,particle_size_um,distribution_density_pct
family_red,1,40.52,-0.1588
family_red,0,40.73,-0.1518
family_red,1,40.73,-0.1576
family_red,0,40.94,-0.1561
family_red,0,41.15,-0.1561
family_red,0,41.36,-0.1601
family_red,0,41.58,-0.1613
family_red,0,41.79,-0.161
family_red,0,42.01,-0.1579
family_red,0,42.22,-0.1563
family_red,0,42.44,-0.154
family_red,0,42.66,-0.1531
family_red,0,42.88,-0.1486
family_red,0,43.1,-0.1391
family_red,1,43.1,-0.1461
family_red,0,43.32,-0.1398
family_red,0,43.55,-0.1377
family_red,0,43.77,-0.1341
family_red,0,44.0,-0.1323
family_red,0,44.23,-0.1002
family_red,1,44.23,-0.1269
family_red,0,44.45,-0.1002
family_red,1,44.45,-0.1244
family_red,0,44.68,-0.1014
family_red,1,44.68,-0.1237
family_red,0,44.91,-0.1016
family_red,1,44.91,-0.1176
family_red,2,44.91,-0.1222
family_red,0,45.15,-0.1034
family_red,1,45.15,-0.119
family_red,0,45.38,-0.1043
family_red,1,45.38,-0.1176
family_red,2,45.38,-0.1235
family_red,0,45.61,-0.1061
family_red,1,45.61,-0.1149
family_red,2,45.61,-0.1276
family_red,0,45.85,-0.1131
family_red,1,45.85,-0.1314
family_red,0,46.09,-0.112
family_red,1,46.09,-0.1332
family_red,0,46.32,-0.1108
family_red,1,46.32,-0.1346
family_red,0,46.56,-0.1124
family_red,1,46.56,-0.135
family_red,0,46.8,-0.1106
family_red,1,46.8,-0.1142
family_red,2,46.8,-0.135
family_red,0,47.04,-0.1111
family_red,1,47.04,-0.1154
family_red,2,47.04,-0.1344
family_red,0,47.29,-0.1111
family_red,1,47.29,-0.1163
family_red,2,47.29,-0.1332
family_red,0,47.53,-0.1106
family_red,1,47.53,-0.1183
family_red,2,47.53,-0.1325
family_red,0,47.78,-0.1188
family_red,1,47.78,-0.1303
family_red,0,48.02,-0.1093
family_red,1,48.02,-0.1217
family_red,2,48.02,-0.1274
family_red,0,48.27,-0.1093
family_red,1,48.27,-0.1246
family_red,0,48.52,-0.1258
family_red,0,48.77,-0.1287
family_red,0,49.02,-0.1341
family_red,0,49.27,-0.1357
family_red,1,49.27,-0.14
family_red,0,49.53,-0.1414
family_red,0,49.78,-0.1402
family_red,1,49.78,-0.1432
family_red,0,50.04,-0.14
family_red,1,50.04,-0.1432
family_red,0,50.3,-0.1436
family_red,0,50.56,-0.1389
family_red,1,50.56,-0.1441
family_red,0,50.82,-0.1391
family_red,1,50.82,-0.1441
family_red,0,51.08,-0.1382
family_red,1,51.08,-0.1443
family_red,0,51.35,-0.1443
family_red,0,51.61,-0.1357
family_red,1,51.61,-0.1445
family_red,0,51.88,-0.135
family_red,1,51.88,-0.1445
family_red,0,52.14,-0.1344
family_red,1,52.14,-0.1445
family_red,0,52.41,-0.1307
family_red,1,52.41,-0.135
family_red,2,52.41,-0.145
family_red,0,52.68,-0.1296
family_red,1,52.68,-0.1362
family_red,2,52.68,-0.1459
family_red,0,52.96,-0.1285
family_red,1,52.96,-0.1373
family_red,2,52.96,-0.1463
family_red,0,53.23,-0.1267
family_red,1,53.23,-0.1396
family_red,2,53.23,-0.147
family_red,0,53.5,-0.1264
family_red,1,53.5,-0.14
family_red,2,53.5,-0.1472
family_red,0,53.78,-0.1276
family_red,1,53.78,-0.1411
family_red,2,53.78,-0.1434
family_red,3,53.78,-0.1477
family_red,0,54.06,-0.1427
family_red,1,54.06,-0.1481
family_red,0,54.34,-0.1348
family_red,1,54.34,-0.1439
family_red,2,54.34,-0.1486
family_red,0,54.62,-0.1364
family_red,1,54.62,-0.1441
family_red,2,54.62,-0.1486
family_red,0,54.9,-0.1382
family_red,1,54.9,-0.1448
family_red,2,54.9,-0.1495
family_red,0,55.18,-0.1382
family_red,1,55.18,-0.145
family_red,2,55.18,-0.1506
family_red,0,55.47,-0.1375
family_red,1,55.47,-0.145
family_red,2,55.47,-0.1522
family_red,0,55.75,-0.1368
family_red,1,55.75,-0.1448
family_red,2,55.75,-0.1538
family_red,0,56.04,-0.1445
family_red,1,56.04,-0.1549
family_red,0,56.33,-0.1445
family_red,1,56.33,-0.1556
family_red,0,56.62,-0.1454
family_red,1,56.62,-0.1527
family_red,0,56.91,-0.1486
family_red,0,57.21,-0.135
family_red,1,57.21,-0.1441
family_red,0,57.5,-0.135
family_red,1,57.5,-0.1445
family_red,0,57.8,-0.1355
family_red,1,57.8,-0.1405
family_red,2,57.8,-0.1475
family_red,0,58.1,-0.1416
family_red,1,58.1,-0.1468
family_red,0,58.4,-0.1443
family_red,0,58.7,-0.1436
family_red,0,59.0,-0.1405
family_red,1,59.0,-0.145
family_red,2,59.0,-0.1484
family_red,0,59.31,-0.1409
family_red,1,59.31,-0.1445
family_red,2,59.31,-0.1493
family_red,0,59.61,-0.1398
family_red,1,59.61,-0.1436
family_red,2,59.61,-0.1486
family_red,0,59.92,-0.1389
family_red,1,59.92,-0.1429
family_red,2,59.92,-0.1472
family_red,0,60.23,-0.1423
family_red,1,60.23,-0.1459
family_red,0,60.54,-0.1353
family_red,1,60.54,-0.1418
family_red,2,60.54,-0.1448
family_red,0,60.85,-0.1414
family_red,1,60.85,-0.145
family_red,0,61.17,-0.1409
family_red,1,61.17,-0.1461
family_red,0,61.48,-0.1409
family_red,1,61.48,-0.1477
family_red,0,61.8,-0.1405
family_red,1,61.8,-0.1486
family_red,0,62.12,-0.14
family_red,1,62.12,-0.15
family_red,0,62.44,-0.131
family_red,1,62.44,-0.1405
family_red,2,62.44,-0.1504
family_red,0,62.76,-0.131
family_red,1,62.76,-0.1409
family_red,2,62.76,-0.1504
family_red,0,63.08,-0.1414
family_red,1,63.08,-0.1504
family_red,0,63.41,-0.1418
family_red,1,63.41,-0.1504
family_red,0,63.74,-0.1416
family_red,1,63.74,-0.1504
family_red,0,64.07,-0.1405
family_red,1,64.07,-0.15
