particle_size_um,plsr_model_coefficient,pixel_x,pixel_y,blob_area_px,markers_in_blob
486.0,0.6186,907.6,815.3,75,1
497.9,0.6579,912.3,799.1,65,1
512.1,0.6869,917.8,787.3,32,1
522.3,0.7153,921.6,775.7,36,1
535.4,0.7261,926.4,771.2,58,1
565.8,0.7081,937.2,778.6,69,1
585.1,0.8052,943.7,738.9,40,1
595.2,0.7238,947.0,772.2,47,1
629.8,0.8257,958.0,730.5,50,1
652.3,0.7337,964.8,768.2,106,1
671.0,0.6507,970.3,802.1,127,2
694.2,0.6466,976.9,803.8,127,2
706.2,0.7998,980.3,741.1,133,2
728.4,0.8103,986.3,736.8,133,2
744.0,0.7814,990.4,748.6,75,1
763.8,0.7085,995.5,778.4,75,1
784.2,0.7968,1000.6,742.3,74,1
803.5,0.6424,1005.3,805.5,72,1
824.8,1.1031,1010.4,616.9,72,1
843.6,1.0005,1014.8,658.9,75,1
866.8,1.0828,1020.1,625.3,77,1
886.8,0.7038,1024.5,780.4,74,1
910.6,0.4642,1029.6,878.4,73,1
932.3,0.5286,1034.2,852.1,75,1
957.3,1.4863,1039.4,460.1,77,1
983.0,1.6711,1044.5,384.5,76,1
