time_s,line_pressure_bar,mass_g
19.2260,9.1670,1.4691
19.3190,9.1715,1.5637
19.4120,9.2345,1.6161
19.5050,9.2293,1.6459
19.5990,9.1865,1.7108
19.6930,9.1595,1.7194
19.7860,9.1962,1.7233
19.8790,9.1895,1.7569
19.9720,9.1888,1.7925
20.0650,9.1850,1.8752
20.1580,9.1775,1.9381
20.2530,9.2390,1.9371
20.3460,9.1707,1.9540
20.4390,9.1790,2.0092
20.5320,9.1565,2.0880
20.6250,9.2022,2.1289
20.7190,9.2300,2.1481
20.8120,9.2022,2.2067
20.9060,9.1850,2.2322
20.9990,9.1467,2.2375
21.0920,9.1992,2.2461
21.1850,9.1933,2.3033
21.2790,9.2075,2.3259
21.3720,9.1865,2.3543
21.4650,9.1550,2.4648
21.5590,9.1828,2.5402
21.6520,9.1467,2.5499
21.7460,9.1580,2.5748
21.8390,9.1640,2.5984
21.9320,9.1610,2.6392
22.0250,9.1842,2.7493
22.1180,9.1662,2.7844
22.2130,9.1288,2.8017
22.3060,9.1355,2.8435
22.3990,9.1512,2.9122
22.4920,9.1880,2.9449
22.5850,9.1902,3.0492
22.6780,9.1333,3.1020
22.7720,9.1258,3.1212
22.8660,9.1303,3.1419
22.9590,9.1760,3.1789
23.0520,9.1783,3.2025
23.1450,9.1617,3.3683
23.2390,9.1670,3.4341
23.3320,9.1895,3.4437
23.4250,9.1768,3.4427
23.5190,9.1587,3.4788
23.6120,9.1610,3.5711
23.7060,9.1670,3.5922
23.7990,9.1962,3.6686
23.8920,9.1460,3.7604
23.9850,9.1167,3.7748
24.0780,9.0958,3.7873
24.1730,9.1438,3.7911
24.2660,9.1550,4.0487
24.3590,9.1647,4.3404
24.4520,9.1550,4.3635
24.5450,9.1033,4.3645
24.6380,9.1512,4.3625
24.7320,9.1325,4.3678
24.8260,9.1700,4.3890
24.9190,9.1490,4.4149
25.0120,9.1273,4.5254
25.1050,9.1647,4.6143
25.1990,9.1182,4.6360
25.2920,9.1048,4.6629
25.3850,9.1152,4.6941
25.4790,9.1303,4.7455
25.5720,9.1602,4.8292
25.6650,9.1258,5.0666
25.7590,9.0920,5.1507
25.8520,9.0913,5.1862
25.9450,9.1137,5.2290
26.0380,9.1610,5.3179
26.1310,9.1610,5.4236
26.2260,9.1265,5.5192
26.3190,9.1137,5.5976
26.4120,9.1273,5.6038
26.5050,9.1385,5.6255
26.5980,9.1550,5.6826
26.6920,9.1423,5.7566
26.7860,9.1392,5.7888
26.8790,9.1580,5.7975
26.9720,9.1460,5.9431
27.0650,9.1092,6.2752
27.1580,9.1092,6.2891
27.2520,9.1400,6.2632
27.3450,9.1655,6.2723
27.4390,9.1385,6.3521
27.5320,9.0935,6.5155
27.6250,9.0800,6.5871
27.7190,9.1227,6.6149
27.8120,9.1348,6.6649
27.9050,9.1535,6.7231
27.9980,9.1325,6.7831
28.0920,9.1062,6.8201
28.1860,9.1475,6.8547
28.2790,9.1077,6.9417
28.3720,9.1430,7.1974
28.4650,9.1378,7.4006
28.5580,9.1430,7.4405
28.6510,9.1745,7.4665
28.7460,9.1333,7.5905
28.8390,9.1258,7.6871
28.9320,9.1167,7.7606
29.0250,9.1175,7.8043
29.1180,9.1250,7.8380
29.2120,9.1288,7.8774
29.3050,9.0988,7.9394
29.3990,9.0815,7.9994
29.4920,9.1175,8.0898
29.5850,9.1318,8.1907
29.6790,9.1460,8.2508
29.7720,9.1310,8.5011
29.8650,9.1430,8.7520
29.9580,9.1475,8.7549
30.0520,9.1385,8.8034
30.1450,9.1325,8.9461
30.2390,9.1227,9.0792
30.3320,9.1445,9.1744
30.4250,9.1625,9.2638
30.5180,9.1475,9.3532
30.6110,9.0777,9.4493
30.7060,9.0740,9.5934
30.7990,9.1077,9.7136
30.8920,9.1197,9.8159
30.9850,9.1370,9.9375
31.0780,9.0995,10.0538
31.1720,9.0665,10.1778
31.2650,9.1205,10.2739
31.3590,9.0995,10.3907
31.4520,9.1055,10.5046
31.5450,9.0463,10.6156
31.6380,9.0448,10.7290
31.7320,9.0988,10.8333
31.8250,9.0470,10.9808
31.9180,9.0575,11.1024
32.0120,9.0545,11.2197
32.1050,9.0920,11.3388
32.1990,9.1167,11.4787
32.2920,9.1175,11.6445
32.3850,9.0785,11.7949
32.4780,9.0583,11.9025
32.5710,9.0913,12.0328
32.6660,9.1295,12.1779
32.7590,9.1348,12.3379
32.8520,9.1182,12.4672
32.9450,9.0935,12.5888
33.0380,9.0942,12.7325
33.1310,9.0717,12.8579
33.2250,9.0627,12.9603
33.3190,9.0815,13.1145
33.4120,9.0913,13.2577
33.5050,9.1137,13.3735
33.5980,9.0905,13.5220
33.6920,9.0552,13.6729
33.7850,9.0545,13.7902
33.8780,9.1040,13.9252
33.9720,9.1295,14.0651
34.0650,9.1490,14.1814
34.1590,9.1100,14.3111
34.2520,9.0988,14.4692
34.3450,9.1227,14.5980
34.4380,9.0868,14.7431
34.5310,9.1197,14.8787
34.6250,9.0740,15.0228
34.7190,9.0800,15.1646
34.8120,9.0942,15.3059
34.9050,9.0508,15.4472
34.9980,9.0552,15.5827
35.0910,9.0508,15.7441
35.1850,9.0830,15.8936
35.2790,9.1220,16.0277
35.3720,9.1460,16.1776
35.4650,9.1318,16.3424
35.5580,9.1070,16.4909
35.6520,9.1325,16.6308
35.7450,9.1475,16.7730
35.8380,9.1520,16.9359
35.9320,9.1423,17.1051
36.0250,9.1152,17.2743
36.1180,9.1033,17.4261
36.2120,9.0598,17.6078
36.3050,9.0530,17.7683
36.3980,9.0755,17.9240
36.4910,9.0913,18.0845
36.5850,9.1258,18.2647
36.6790,9.1077,18.4233
36.7720,9.0635,18.5847
36.8650,9.0770,18.7578
36.9580,9.1258,18.9038
37.0510,9.1415,19.0591
37.1450,9.1580,19.2287
37.2390,9.1258,19.4070
37.3320,9.0965,19.5906
37.4250,9.1212,19.7520
37.5180,9.0890,19.9087
37.6110,9.1333,20.0721
37.7050,9.1002,20.2576
37.7980,9.1100,20.4263
37.8920,9.1288,20.5916
37.9850,9.0853,20.7699
38.0780,9.0777,20.9289
38.1720,9.0695,21.1005
38.2650,9.1160,21.2634
38.3580,9.1467,21.4417
38.4510,9.1700,21.6137
38.5450,9.1498,21.8007
38.6390,9.1025,21.9621
38.7320,9.1370,22.1294
38.8250,9.1295,22.3043
38.9180,9.1408,22.4768
