role,S,kx,kz,R,s,Xi_field,Xi_coupon,Xi_hat,Xi_hat_over_Xi_field,c_field,c_hat,status
primary,2,3,2,1.022232836881,0.469759044127,0.289265490348,0.140052998694,0.176053847806,0.6086237511228835,0.321895762559,0.35959988482,ok
primary,2,3,4,1.049588122035,0.434791435036,1.098834685627,0.470539433755,0.488694662667,0.44473902130978754,0.321786218607,0.362263113653,ok
primary,2,5,4,1.079947009676,0.406890529516,2.843600267097,1.17469822962,0.741967041156,0.26092522558153575,0.321798487727,0.397535507389,ok
primary,2,9,3,1.108163034127,0.392592605164,3.359829888353,1.814886085617,0.711587618957,0.21179275219371974,0.321818659786,0.454371438216,ok
primary,2,9,4,1.133781562531,0.379157997288,6.729860254576,4.043719365782,0.746636412098,0.11094382109796724,0.322070022977,0.488223819461,ok
primary,3,3,2,1.020872192658,0.471280343486,0.283409617858,0.130959771855,0.168040856847,0.5929257380784989,0.321717333199,0.355948742805,ok
primary,3,3,4,1.047802479959,0.436342304073,1.109468724803,0.45112592451,0.480336636884,0.43294292677721924,0.321613296981,0.358335714132,ok
primary,3,5,4,1.077964163065,0.408001983744,2.947808402256,1.14943142159,0.744033226477,0.25240216626955153,0.321624288321,0.393081169711,ok
primary,3,9,3,1.105506060775,0.394057193536,3.419576745041,1.743099545314,0.708079492894,0.2070664136784888,0.321715569385,0.450417039155,ok
primary,3,9,4,1.131306608983,0.380133733425,7.098083961454,4.070597217675,0.750926879422,0.10579289897103121,0.321904182309,0.484149276391,ok
path_swap,2,3,2,1.022232836881,0.530240955873,0.289193307193,0.140052998694,0.176053847805,0.6087756646716111,-0.321931887847,-0.359599884821,ok
path_swap,2,3,4,1.049588122035,0.565208564964,1.098689763825,0.470539433755,0.488694662666,0.44479768425679045,-0.321822761795,-0.362263113653,ok
path_swap,2,5,4,1.079947009676,0.593109470484,2.843452590727,1.17469822962,0.741967041157,0.260938776885778,-0.321834931128,-0.397535507389,ok
path_swap,2,9,3,1.108163034127,0.607407394836,3.359619909136,1.814886085617,0.711587618957,0.21180598942813156,-0.321853150866,-0.454371438216,ok
path_swap,2,9,4,1.133781562531,0.620842002712,6.729792394006,4.043719365782,0.746636412098,0.1109449398116655,-0.322105506265,-0.488223819461,ok
path_swap,3,3,2,1.020872192658,0.528719656514,0.283341858142,0.130959771855,0.168040856847,0.593067533152071,-0.321839491013,-0.355948742805,ok
path_swap,3,3,4,1.047802479959,0.563657695927,1.1093248316,0.45112592451,0.480336636884,0.43299908484983746,-0.321736711318,-0.358335714132,ok
path_swap,3,5,4,1.077964163065,0.591998016256,2.947657298548,1.14943142159,0.744033226476,0.2524151049860873,-0.321747407897,-0.393081169711,ok
path_swap,3,9,3,1.105506060775,0.605942806464,3.419372114333,1.743099545314,0.708079492894,0.20707880547014448,-0.321832826355,-0.450417039155,ok
path_swap,3,9,4,1.131306608983,0.619866266575,7.09802373166,4.070597217675,0.750926879422,0.10579379666942623,-0.322024270031,-0.484149276391,ok
identical_path,2,5,4,1.014277334586,0.5,,1.17469822962,,,0.321919383017,-7924287141222.926,nonphysical_contrast
linearity_R,2,5,4,1.07995517014,0.40687509326,2.843811159997,1.17469822962,0.742317858459,0.26102923741947165,0.321807555554,0.397507179828,ok
linearity_R,2,5,4,1.079930679706,0.406921406027,2.843177897165,1.17469822962,0.741265943428,0.26071739800985855,0.321780437864,0.39759216443,ok
linearity_R,3,5,4,1.077976937965,0.407977280039,2.948162494748,1.14943142159,0.74460372405,0.2525653607548679,0.321654839144,0.393035379785,ok
linearity_R,3,5,4,1.077938560494,0.408051410645,2.947095520627,1.14943142159,0.742893931377,0.25207663822818605,0.321563642837,0.393172655504,ok
asymmetry,3,5,4,1.078791103207,0.40629841002,2.951896060546,1.14943142159,0.785557837533,0.2661197486024283,0.32533097037,0.389729131105,ok
asymmetry_swap,3,5,4,1.077539658095,0.591292082567,2.952083208395,1.14943142159,0.729068088577,0.24696732344932193,-0.319711826102,-0.394119123811,ok
asymmetry,3,5,4,1.076490092733,0.40737645393,2.963327753198,1.14943142159,0.796646093501,0.2688349584824918,0.314590388609,0.383569221171,ok
asymmetry_swap,3,5,4,1.077964163065,0.591998016256,2.947657298548,1.14943142159,0.744033226476,0.2524151049860873,-0.321747407897,-0.393081169711,ok
