experiment_id,species_id,source_quantity,c0_outlet_concentration_mg_per_g_beverage,lambda_beverage_mass_g,mean_first_fraction_species_mass_mg,fitted_tail_species_mass_mg,asymptotic_extractable_species_mass_mg,dose_dry_coffee_g,inventory_mg_species_per_g_dry_coffee,inventory_mass_fraction_kg_per_kg_dry_coffee,status,direct_initial_inventory_measurement,pannusch_initial_solid_concentration_kg_per_m3_solid_phase,pannusch_implied_inventory_mg_per_g_dry_coffee,pannusch_to_schmieder_ratio,crosscheck
1,caffeine,SCHMIEDER_EQ3_ASYMPTOTIC_EXTRACTABLE_MASS,10.4887,20.52467,45.762095665000004,168.35239005030817,214.11448571530818,20.0,10.70572428576541,0.01070572428576541,TRAINING_DATA_ESTIMATE,False,10.8,17.762699951880798,1.6591777891663542,UNITS_CLOSE_PHASE_DEFINITIONS_EXPLICIT
1,trigonelline,SCHMIEDER_EQ3_ASYMPTOTIC_EXTRACTABLE_MASS,7.40899,14.76344,30.833225494666667,77.71397841005079,108.54720390471745,20.0,5.427360195235872,0.005427360195235873,TRAINING_DATA_ESTIMATE,False,4.19,6.891269703553753,1.2697277231761581,UNITS_CLOSE_PHASE_DEFINITIONS_EXPLICIT
2,caffeine,SCHMIEDER_EQ3_ASYMPTOTIC_EXTRACTABLE_MASS,9.46765,23.93518,75.17911840066667,153.5320180811226,228.71113648178925,20.0,11.435556824089463,0.011435556824089463,TRAINING_DATA_ESTIMATE,False,10.8,17.762699951880798,1.553286842531616,UNITS_CLOSE_PHASE_DEFINITIONS_EXPLICIT
2,trigonelline,SCHMIEDER_EQ3_ASYMPTOTIC_EXTRACTABLE_MASS,6.46932,16.40303,46.717345075333334,60.12602933936762,106.84337441470095,20.0,5.342168720735048,0.005342168720735048,TRAINING_DATA_ESTIMATE,False,4.19,6.891269703553753,1.2899760497653394,UNITS_CLOSE_PHASE_DEFINITIONS_EXPLICIT
3,caffeine,SCHMIEDER_EQ3_ASYMPTOTIC_EXTRACTABLE_MASS,9.66427,21.96458,61.317540183666665,153.36057525513402,214.6781154388007,20.0,10.733905771940034,0.010733905771940035,TRAINING_DATA_ESTIMATE,False,10.8,17.762699951880798,1.6548216771489683,UNITS_CLOSE_PHASE_DEFINITIONS_EXPLICIT
3,trigonelline,SCHMIEDER_EQ3_ASYMPTOTIC_EXTRACTABLE_MASS,6.54716,14.93682,38.20218957166667,60.6329427180122,98.83513228967888,20.0,4.941756614483944,0.004941756614483945,TRAINING_DATA_ESTIMATE,False,4.19,6.891269703553753,1.3944979976059366,UNITS_CLOSE_PHASE_DEFINITIONS_EXPLICIT
4,caffeine,SCHMIEDER_EQ3_ASYMPTOTIC_EXTRACTABLE_MASS,9.67546,23.05736,58.666072541000005,165.46445119458738,224.1305237355874,20.0,11.206526186779369,0.01120652618677937,TRAINING_DATA_ESTIMATE,False,10.8,17.762699951880798,1.5850317623703871,UNITS_CLOSE_PHASE_DEFINITIONS_EXPLICIT
4,trigonelline,SCHMIEDER_EQ3_ASYMPTOTIC_EXTRACTABLE_MASS,6.83473,15.99516,38.549317564333336,71.06150402048775,109.61082158482108,20.0,5.480541079241054,0.005480541079241054,TRAINING_DATA_ESTIMATE,False,4.19,6.891269703553753,1.2574068151146962,UNITS_CLOSE_PHASE_DEFINITIONS_EXPLICIT
5,caffeine,SCHMIEDER_EQ3_ASYMPTOTIC_EXTRACTABLE_MASS,10.38155,21.59864,61.458336694,164.01412978462642,225.47246647862642,20.0,11.273623323931321,0.011273623323931321,TRAINING_DATA_ESTIMATE,False,10.8,17.762699951880798,1.5755981410319655,UNITS_CLOSE_PHASE_DEFINITIONS_EXPLICIT
5,trigonelline,SCHMIEDER_EQ3_ASYMPTOTIC_EXTRACTABLE_MASS,7.30706,15.42548,40.32803353333333,72.74865217127905,113.07668570461237,20.0,5.6538342852306185,0.005653834285230619,TRAINING_DATA_ESTIMATE,False,4.19,6.891269703553753,1.2188665878580238,UNITS_CLOSE_PHASE_DEFINITIONS_EXPLICIT
6,caffeine,SCHMIEDER_EQ3_ASYMPTOTIC_EXTRACTABLE_MASS,10.04235,22.39093,59.56815528133333,165.12146784616866,224.689623127502,20.0,11.2344811563751,0.0112344811563751,TRAINING_DATA_ESTIMATE,False,10.8,17.762699951880798,1.5810876981889996,UNITS_CLOSE_PHASE_DEFINITIONS_EXPLICIT
6,trigonelline,SCHMIEDER_EQ3_ASYMPTOTIC_EXTRACTABLE_MASS,6.95468,15.7859,38.57854063866667,70.84866712583725,109.42720776450392,20.0,5.471360388225196,0.005471360388225196,TRAINING_DATA_ESTIMATE,False,4.19,6.891269703553753,1.2595166859021598,UNITS_CLOSE_PHASE_DEFINITIONS_EXPLICIT
7,caffeine,SCHMIEDER_EQ3_ASYMPTOTIC_EXTRACTABLE_MASS,9.70981,23.09434,61.380722824833335,163.92199144456632,225.30271426939964,20.0,11.265135713469983,0.011265135713469984,TRAINING_DATA_ESTIMATE,False,10.8,17.762699951880798,1.5767852606197659,UNITS_CLOSE_PHASE_DEFINITIONS_EXPLICIT
7,trigonelline,SCHMIEDER_EQ3_ASYMPTOTIC_EXTRACTABLE_MASS,6.69949,16.08737,39.316137627500005,68.73493240845269,108.0510700359527,20.0,5.402553501797636,0.005402553501797636,TRAINING_DATA_ESTIMATE,False,4.19,6.891269703553753,1.2755578822608171,UNITS_CLOSE_PHASE_DEFINITIONS_EXPLICIT
