experiment_id,replicate_id,fraction_id,species_id,temperature_K,flow_m3_s,grind_source,fraction_mass_kg,accumulated_mass_coordinate_kg,fraction_lower_mass_kg,fraction_upper_mass_kg,source_concentration_mg_g,concentration_kg_per_kg_beverage,fraction_species_mass_kg,cumulative_measured_fraction_species_mass_kg,coordinate_semantics,contiguity_status,source_file,source_row,source_hash,evidence_status
1,2,1,trigonelline,362.15,1e-06,1.7,0.0047264,0.0023632,0.0,0.0047264,6.1382,0.006138200000000001,2.9011588479999997e-05,2.9011588479999997e-05,FRACTION_MASS_MIDPOINT,FIRST_MEASURED_FRACTION,puckworks/data/schmieder2023/raw_fractions.csv,8,f3511dd46648fb34962c9d774cc901fa65acd7f0caaf130f143e4f04dbb0915f,PRIMARY_DIRECT_MEASUREMENT
1,2,2,caffeine,362.15,1e-06,1.7,0.0067004000000000005,0.0080766,0.0047263999999999995,0.0114268,7.33461,0.00733461,4.9144820844e-05,9.2542909228e-05,FRACTION_MASS_MIDPOINT,CONTIGUOUS_WITHIN_PRINTED_PRECISION,puckworks/data/schmieder2023/raw_fractions.csv,9,f3511dd46648fb34962c9d774cc901fa65acd7f0caaf130f143e4f04dbb0915f,PRIMARY_DIRECT_MEASUREMENT
1,2,2,trigonelline,362.15,1e-06,1.7,0.0067004000000000005,0.0080766,0.0047263999999999995,0.0114268,4.43292,0.00443292,2.9702337168000003e-05,5.8713925648e-05,FRACTION_MASS_MIDPOINT,CONTIGUOUS_WITHIN_PRINTED_PRECISION,puckworks/data/schmieder2023/raw_fractions.csv,9,f3511dd46648fb34962c9d774cc901fa65acd7f0caaf130f143e4f04dbb0915f,PRIMARY_DIRECT_MEASUREMENT
1,2,3,caffeine,362.15,1e-06,1.7,0.0057439,0.01429875,0.0114268,0.0171707,5.26112,0.00526112,3.0219347168e-05,0.000122762256396,FRACTION_MASS_MIDPOINT,CONTIGUOUS_WITHIN_PRINTED_PRECISION,puckworks/data/schmieder2023/raw_fractions.csv,10,f3511dd46648fb34962c9d774cc901fa65acd7f0caaf130f143e4f04dbb0915f,PRIMARY_DIRECT_MEASUREMENT
1,2,3,trigonelline,362.15,1e-06,1.7,0.0057439,0.01429875,0.0114268,0.0171707,2.81679,0.00281679,1.6179360081000003e-05,7.4893285729e-05,FRACTION_MASS_MIDPOINT,CONTIGUOUS_WITHIN_PRINTED_PRECISION,puckworks/data/schmieder2023/raw_fractions.csv,10,f3511dd46648fb34962c9d774cc901fa65acd7f0caaf130f143e4f04dbb0915f,PRIMARY_DIRECT_MEASUREMENT
1,2,5,caffeine,362.15,1e-06,1.7,0.0052185,0.025405550000000002,0.022796300000000002,0.028014800000000003,2.85676,0.00285676,1.4908002059999998e-05,0.00013767025845599998,FRACTION_MASS_MIDPOINT,SOURCE_UNMEASURED_FRACTION_GAP,puckworks/data/schmieder2023/raw_fractions.csv,11,f3511dd46648fb34962c9d774cc901fa65acd7f0caaf130f143e4f04dbb0915f,PRIMARY_DIRECT_MEASUREMENT
1,2,5,trigonelline,362.15,1e-06,1.7,0.0052185,0.025405550000000002,0.022796300000000002,0.028014800000000003,1.13198,0.00113198,5.9072376299999995e-06,8.0800523359e-05,FRACTION_MASS_MIDPOINT,SOURCE_UNMEASURED_FRACTION_GAP,puckworks/data/schmieder2023/raw_fractions.csv,11,f3511dd46648fb34962c9d774cc901fa65acd7f0caaf130f143e4f04dbb0915f,PRIMARY_DIRECT_MEASUREMENT
1,2,7,caffeine,362.15,1e-06,1.7,0.005369,0.0362009,0.033516399999999995,0.0388854,1.76107,0.00176107,9.455184829999997e-06,0.000147125443286,FRACTION_MASS_MIDPOINT,SOURCE_UNMEASURED_FRACTION_GAP,puckworks/data/schmieder2023/raw_fractions.csv,12,f3511dd46648fb34962c9d774cc901fa65acd7f0caaf130f143e4f04dbb0915f,PRIMARY_DIRECT_MEASUREMENT
1,2,7,trigonelline,362.15,1e-06,1.7,0.005369,0.0362009,0.033516399999999995,0.0388854,0.56576,0.00056576,3.0375654400000004e-06,8.3838088799e-05,FRACTION_MASS_MIDPOINT,SOURCE_UNMEASURED_FRACTION_GAP,puckworks/data/schmieder2023/raw_fractions.csv,12,f3511dd46648fb34962c9d774cc901fa65acd7f0caaf130f143e4f04dbb0915f,PRIMARY_DIRECT_MEASUREMENT
1,2,10,caffeine,362.15,1e-06,1.7,0.0054847,0.05217485,0.0494325,0.0549172,0.97905,0.00097905,5.369795534999999e-06,0.00015249523882099997,FRACTION_MASS_MIDPOINT,SOURCE_UNMEASURED_FRACTION_GAP,puckworks/data/schmieder2023/raw_fractions.csv,13,f3511dd46648fb34962c9d774cc901fa65acd7f0caaf130f143e4f04dbb0915f,PRIMARY_DIRECT_MEASUREMENT
