experiment_id,fraction_id,species_id,replicate_count,nonmissing_count,missing_count,mean_concentration_kg_per_kg_beverage,sample_sd_concentration_kg_per_kg_beverage,minimum_concentration_kg_per_kg_beverage,maximum_concentration_kg_per_kg_beverage,source_row_set
5,1,trigonelline,3,3,0,0.005970993333333334,0.00014675482763212017,0.00580585,0.00608647,74;80;86
5,2,caffeine,3,2,1,0.00648108,0.0007026237241938245,0.00598425,0.0069779099999999995,75;81;87
5,2,trigonelline,3,2,1,0.00370477,0.0004150716805565033,0.00341127,0.00399827,75;81;87
5,3,caffeine,3,3,0,0.0045539199999999995,4.5296835430303666e-05,0.00450205,0.00458568,76;82;88
5,3,trigonelline,3,3,0,0.00245567,2.3517455219474802e-05,0.00243725,0.00248216,76;82;88
5,5,caffeine,3,3,0,0.0029674466666666666,7.768680797492831e-05,0.0029072399999999997,0.0030551400000000005,77;83;89
5,5,trigonelline,3,3,0,0.0013504633333333335,2.96068308559584e-05,0.00131999,0.00137912,77;83;89
5,7,caffeine,3,3,0,0.002006756666666667,6.53023218066047e-05,0.00193896,0.0020692400000000004,78;84;90
5,7,trigonelline,3,3,0,0.0007948366666666666,1.0053886479035564e-05,0.0007882599999999999,0.00080641,78;84;90
5,10,caffeine,3,3,0,0.0012169366666666666,2.4693546390369563e-05,0.00118932,0.00123689,79;85;91
5,10,trigonelline,3,3,0,0.0003561366666666667,2.3048135137866006e-05,0.00034271000000000003,0.00038275,79;85;91
6,1,caffeine,3,3,0,0.008596823333333333,0.0003374258806513411,0.00824743,0.00892085,92;98;104
6,1,trigonelline,3,3,0,0.005579093333333333,0.0001777401221821716,0.005474730000000001,0.00578432,92;98;104
6,2,caffeine,3,3,0,0.0065261266666666665,0.00015255658633219786,0.00642843,0.00670192,93;99;105
6,2,trigonelline,3,3,0,0.0037300933333333335,0.00023809760820582215,0.0035667900000000002,0.00400329,93;99;105
6,3,caffeine,3,3,0,0.004853206666666666,0.00012177009498778159,0.00474623,0.00498572,94;100;106
6,3,trigonelline,3,3,0,0.0025130233333333332,0.00016011763717134136,0.00241999,0.00269791,94;100;106
6,5,caffeine,3,3,0,0.0028693166666666665,0.00010152072809694252,0.0027535,0.00294292,95;101;107
6,5,trigonelline,3,3,0,0.0011735433333333334,3.971627542120892e-05,0.0011321900000000001,0.00121139,95;101;107
6,7,caffeine,3,3,0,0.0018224333333333332,8.513923439480382e-05,0.00172413,0.0018726,96;102;108
6,7,trigonelline,3,3,0,0.00063607,8.195126600608495e-06,0.00062663,0.0006413600000000001,96;102;108
6,10,caffeine,3,3,0,0.0010734766666666666,1.8117605618109027e-05,0.00105788,0.00109335,97;103;109
6,10,trigonelline,3,3,0,0.00029819333333333336,2.53501209727554e-05,0.00028275,0.00032745,97;103;109
7,1,caffeine,6,6,0,0.008511251666666667,0.0002571133176182573,0.00824879,0.008942920000000002,110;116;122;128;134;140
7,1,trigonelline,6,6,0,0.005466891666666667,0.00024352478883404608,0.00526274,0.005947930000000001,110;116;122;128;134;140
7,2,caffeine,6,6,0,0.006070705,0.00042553031505405107,0.00548398,0.00670834,111;117;123;129;135;141
7,2,trigonelline,6,6,0,0.0033740266666666668,0.0003212286996310674,0.0029880300000000005,0.00394487,111;117;123;129;135;141
7,3,caffeine,6,6,0,0.004584243333333334,0.00019848938779357112,0.0043757200000000005,0.00487852,112;118;124;130;136;142
7,3,trigonelline,6,6,0,0.002366688333333333,0.00017172253066114143,0.0022183199999999998,0.00267041,112;118;124;130;136;142
7,5,caffeine,6,6,0,0.0028341883333333332,0.0001791978949002099,0.0025289,0.0030209100000000003,113;119;125;131;137;143
7,5,trigonelline,6,6,0,0.0012409016666666667,6.497684338798449e-05,0.0011202900000000001,0.00131199,113;119;125;131;137;143
7,7,caffeine,6,6,0,0.0019980883333333335,4.896898504836157e-05,0.0019061300000000002,0.00203804,114;120;126;132;138;144
7,7,trigonelline,6,6,0,0.00076853,5.042123243237913e-05,0.00070416,0.00083221,114;120;126;132;138;144
7,10,caffeine,6,6,0,0.0011693033333333334,4.234511337411518e-05,0.00112477,0.00121896,115;121;127;133;139;145
7,10,trigonelline,6,6,0,0.0003503383333333333,2.9645805380638033e-05,0.00030333,0.0003932,115;121;127;133;139;145
8,1,caffeine,3,3,0,0.00968094,0.00021433717199776596,0.00951707,0.0099235,146;152;158
8,1,trigonelline,3,3,0,0.00651844,0.0002777212644001174,0.0062101100000000005,0.00674895,146;152;158
8,2,caffeine,3,3,0,0.007144333333333333,0.0003325247870961401,0.00687358,0.00751549,147;153;159
8,2,trigonelline,3,3,0,0.00425323,0.00042370592620354043,0.00396641,0.0047399,147;153;159
8,3,caffeine,3,3,0,0.00489978,0.00015204445435463963,0.00476913,0.0050666700000000005,148;154;160
8,3,trigonelline,3,3,0,0.0025758033333333334,0.00019754793274882264,0.00240739,0.00279325,148;154;160
8,5,caffeine,3,3,0,0.0027069466666666668,2.359147586170332e-05,0.00268036,0.00272538,149;155;161
8,5,trigonelline,3,3,0,0.0011057333333333334,3.744642884619762e-05,0.00107699,0.00114808,149;155;161
8,7,caffeine,3,3,0,0.0017314033333333334,3.614695192313364e-05,0.00169071,0.00175979,150;156;162
8,7,trigonelline,3,3,0,0.0006021199999999999,1.5419659529315167e-05,0.00058765,0.00061834,150;156;162
8,10,caffeine,3,3,0,0.00102282,7.01485217235545e-05,0.0009439600000000001,0.00107827,151;157;163
8,10,trigonelline,3,3,0,0.00027974000000000006,1.6844738050797913e-05,0.00026196000000000005,0.00029546,151;157;163
9,1,caffeine,3,3,0,0.009261823333333334,0.0001355191043112862,0.0091129,0.0093779,164;170;176
9,1,trigonelline,3,3,0,0.005853136666666667,0.00011800528053156509,0.0057171,0.005927920000000001,164;170;176
9,2,caffeine,3,3,0,0.0074348366666666665,0.00027081718415442827,0.0071522,0.007692040000000001,165;171;177
9,2,trigonelline,3,3,0,0.004247836666666667,0.00019783216556802218,0.00404875,0.00444439,165;171;177
9,3,caffeine,3,3,0,0.00564543,0.00035229552381487876,0.0052455900000000005,0.00591022,166;172;178
9,3,trigonelline,3,3,0,0.00292457,0.00018124189609469436,0.0027187,0.00306009,166;172;178
9,5,caffeine,3,3,0,0.0031113766666666666,0.00020883691348354426,0.00296822,0.00335101,167;173;179
9,5,trigonelline,3,3,0,0.0012170999999999998,8.404034804782773e-05,0.00114326,0.0013085500000000001,167;173;179
9,7,caffeine,3,3,0,0.0018071333333333332,8.238221430219838e-05,0.00174302,0.0019000500000000001,168;174;180
9,7,trigonelline,3,3,0,0.0005702733333333333,2.8842512604371574e-05,0.0005399199999999999,0.0005973199999999999,168;174;180
9,10,caffeine,3,3,0,0.0010130966666666668,3.8954550868073637e-05,0.00097022,0.0010463100000000002,169;175;181
9,10,trigonelline,3,3,0,0.00025989666666666666,3.460613577580331e-05,0.00022082,0.00028667,169;175;181
10,1,caffeine,3,3,0,0.008515393333333334,0.00018712150740450312,0.00829944,0.0086295,182;188;194
10,1,trigonelline,3,3,0,0.005717703333333333,9.007614242036215e-05,0.00561866,0.0057947300000000005,182;188;194
10,2,caffeine,3,3,0,0.00647354,0.00017954875020450545,0.006266580000000001,0.00658767,183;189;195
10,2,trigonelline,3,3,0,0.0039332866666666666,0.0001308769079453412,0.0038070300000000003,0.00406834,183;189;195
10,3,caffeine,3,3,0,0.004494483333333334,0.00015592612043315002,0.004340060000000001,0.00465187,184;190;196
10,3,trigonelline,3,3,0,0.002394453333333333,5.1532636584336846e-05,0.00233496,0.00242521,184;190;196
10,5,caffeine,3,3,0,0.002367573333333333,0.00012323361649052317,0.00224239,0.00248876,185;191;197
10,5,trigonelline,3,3,0,0.0009513766666666666,4.035434342587339e-05,0.0009051,0.00097924,185;191;197
10,7,caffeine,3,3,0,0.0015344199999999999,3.925834433594988e-05,0.00149206,0.00156958,186;192;198
10,7,trigonelline,3,3,0,0.0005295833333333333,1.6269364871848345e-05,0.0005177199999999999,0.00054813,186;192;198
10,10,caffeine,3,3,0,0.0010045633333333334,1.0234453250336964e-05,0.00099565,0.00101574,187;193;199
10,10,trigonelline,3,3,0,0.00028495666666666664,2.004187948604951e-05,0.00027283,0.00030808999999999996,187;193;199
11,1,caffeine,3,3,0,0.00888702,0.00010809372183434156,0.0087708,0.008984550000000001,200;206;212
11,1,trigonelline,3,3,0,0.006063260000000001,0.00012111092931688728,0.00593112,0.00616898,200;206;212
11,2,caffeine,3,3,0,0.007117173333333333,0.0001775141212223222,0.00695281,0.00730542,201;207;213
11,2,trigonelline,3,3,0,0.004406893333333333,0.00016857518273261102,0.004234910000000001,0.00457184,201;207;213
11,3,caffeine,3,3,0,0.00529541,0.0002343408370301687,0.00511588,0.00556051,202;208;214
11,3,trigonelline,3,3,0,0.0029222566666666666,0.00019666044196363786,0.00276135,0.0031414800000000003,202;208;214
11,5,caffeine,3,3,0,0.0029463000000000002,0.0002099596120686072,0.00274552,0.00316437,203;209;215
11,5,trigonelline,3,3,0,0.0011921466666666668,0.00011139785336052637,0.0010894600000000002,0.0013105800000000002,203;209;215
11,7,caffeine,3,3,0,0.0018144966666666668,0.0001911615820015447,0.0016382200000000001,0.00201769,204;210;216
11,7,trigonelline,3,3,0,0.0006203966666666667,8.37387994500359e-05,0.00055251,0.00071397,204;210;216
11,10,caffeine,3,3,0,0.00104189,7.044690837786994e-05,0.00099256,0.00112257,205;211;217
11,10,trigonelline,3,3,0,0.00028882999999999996,2.5358152535230154e-05,0.00026676,0.00031653,205;211;217
12,1,caffeine,3,3,0,0.008168083333333333,0.0007176806794343383,0.00761632,0.00897944,218;224;230
12,1,trigonelline,3,3,0,0.00510957,0.0005224359746418693,0.00463117,0.00566703,218;224;230
12,2,caffeine,3,3,0,0.005276986666666667,0.0008408518445798478,0.004644840000000001,0.00623128,219;225;231
12,2,trigonelline,3,3,0,0.002764273333333333,0.0005608577969800661,0.0022883300000000003,0.0033826,219;225;231
12,3,caffeine,3,3,0,0.0040134866666666665,0.00046033982016911533,0.00374669,0.00454504,220;226;232
12,3,trigonelline,3,3,0,0.00195641,0.00023309112488466806,0.0017551600000000002,0.00221181,220;226;232
12,5,caffeine,3,3,0,0.0026512299999999996,0.00028467579366711165,0.00244378,0.00297578,221;227;233
12,5,trigonelline,3,3,0,0.0011925266666666667,0.0001366751741660983,0.0010592800000000001,0.00133239,221;227;233
12,7,caffeine,3,3,0,0.0020948733333333333,0.00017888646268886108,0.0019307600000000001,0.00228556,222;228;234
12,7,trigonelline,3,3,0,0.0009245833333333334,6.838595201745264e-05,0.00085599,0.00099276,222;228;234
12,10,caffeine,3,3,0,0.0012407366666666666,0.00010709202833700239,0.00111779,0.00131369,223;229;235
12,10,trigonelline,3,3,0,0.0004054966666666667,3.7374549272644544e-05,0.00038193,0.00044859,223;229;235
13,1,caffeine,3,3,0,0.008677053333333334,0.0006577349135733436,0.007932,0.0091772,236;242;248
13,1,trigonelline,3,3,0,0.005369993333333333,0.0005644273817182626,0.00473783,0.00582339,236;242;248
13,2,caffeine,3,3,0,0.005824136666666667,0.000645621827878622,0.00508438,0.006274,237;243;249
13,2,trigonelline,3,3,0,0.003019886666666667,0.0004640306746685322,0.00249239,0.00336509,237;243;249
13,3,caffeine,3,3,0,0.00404832,0.000262862008666144,0.00376862,0.00429026,238;244;250
13,3,trigonelline,3,3,0,0.0019250333333333334,0.00014524617080437374,0.00177274,0.00206202,238;244;250
13,5,caffeine,3,3,0,0.0025861133333333337,0.00021594323359006492,0.00233832,0.0027341,239;245;251
13,5,trigonelline,3,3,0,0.0011048566666666667,0.00010525491025759003,0.00098345,0.00117045,239;245;251
13,7,caffeine,3,3,0,0.002028956666666667,0.00010156161742180631,0.00192425,0.00212705,240;246;252
13,7,trigonelline,3,3,0,0.00083155,7.341695376410001e-05,0.00075476,0.00090105,240;246;252
13,10,caffeine,3,3,0,0.0010650233333333334,0.0001600472250097868,0.0009157400000000001,0.00123401,241;247;253
13,10,trigonelline,3,3,0,0.00034124333333333335,7.759506577955414e-05,0.00027598,0.00042704,241;247;253
14,1,caffeine,3,3,0,0.007955950000000002,0.00046696078978860733,0.00745227,0.00837447,254;260;266
14,1,trigonelline,3,3,0,0.005268313333333333,0.0003603830530606755,0.00490202,0.005622480000000001,254;260;266
14,2,caffeine,3,3,0,0.0054914000000000004,0.00043150868762980893,0.00500875,0.0058399,255;261;267
14,2,trigonelline,3,3,0,0.00312585,0.0002796192189388992,0.00282671,0.0033806500000000002,255;261;267
14,3,caffeine,3,3,0,0.00416211,0.00022902163369428678,0.00390488,0.0043438800000000005,256;262;268
14,3,trigonelline,3,3,0,0.002209786666666667,0.00012017562037840012,0.00208312,0.0023222,256;262;268
14,5,caffeine,3,3,0,0.002776433333333333,0.00013823083966081292,0.00262847,0.0029022600000000003,257;263;269
14,5,trigonelline,3,3,0,0.0012714,7.170102997865508e-05,0.0012073700000000001,0.00134887,257;263;269
14,7,caffeine,3,3,0,0.0019263233333333336,4.3952925196547814e-05,0.0018945300000000002,0.00197648,258;264;270
14,7,trigonelline,3,3,0,0.0007847766666666667,3.2523790267023485e-05,0.00075527,0.00081965,258;264;270
14,10,caffeine,3,3,0,0.0011321600000000001,4.87868148171204e-05,0.00108503,0.00118245,259;265;271
14,10,trigonelline,3,3,0,0.0003589366666666667,2.248525368621251e-05,0.00034583000000000004,0.00038490000000000003,259;265;271
15,1,caffeine,3,3,0,0.008305016666666666,0.00043996505774133147,0.00803568,0.00881273,272;278;284
15,1,trigonelline,3,3,0,0.0054193900000000005,0.0004610477624932149,0.00504646,0.00593488,272;278;284
15,2,caffeine,3,3,0,0.00608342,0.0008432073838030593,0.005571410000000001,0.00705663,273;279;285
15,2,trigonelline,3,3,0,0.0034418033333333334,0.0006978581818918036,0.00292776,0.00423625,273;279;285
15,3,caffeine,3,3,0,0.004493123333333334,0.0007083617551317502,0.00394381,0.00529263,274;280;286
15,3,trigonelline,3,3,0,0.0023430066666666667,0.0004590976798387609,0.00206553,0.00287293,274;280;286
15,5,caffeine,3,3,0,0.00298255,0.0003326559831116824,0.0027208,0.00335689,275;281;287
15,5,trigonelline,3,3,0,0.0013303133333333334,0.00018771818354473103,0.00121499,0.00154692,275;281;287
15,7,caffeine,3,3,0,0.0020807499999999997,0.0002927899014651975,0.00183323,0.00240395,276;282;288
15,7,trigonelline,3,3,0,0.0008505333333333333,0.00017002560081744546,0.000732,0.0010453399999999999,276;282;288
15,10,caffeine,3,3,0,0.0012962433333333332,0.0002529898998642699,0.0010949100000000002,0.00158022,277;283;289
15,10,trigonelline,3,3,0,0.00042623000000000004,0.00011927597956001036,0.0003498,0.0005636700000000001,277;283;289
