species_id,A1,B1,A2,B2,K_ref,gamma_K,temperature_reference_K,molecular_diffusivity_reference_m2_s,effective_diffusivity_scale_a_D,effective_diffusivity_reference_m2_s,fine_particle_diameter_m,coarse_particle_diameter_m,central_fine_volume_fraction,coarse_intragranular_porosity,parameter_status,diffusivity_status,reconstructed_kinetics_objective_role
caffeine,7.92e-3,0.36,3.11e-2,1.13,0.81,-371,360.15,7.801695836642424e-09,0.012817726055190137,1e-10,2.4e-05,0.00033,0.23,0.4,SAME_LINEAGE_SCALING_PRIOR_NOT_UNIVERSAL,PROXY_FIXED_NOT_FITTED,EXCLUDED_FROM_OBJECTIVE
trigonelline,3.33e-3,0.06,2.06e-2,0.77,1.36,-431,360.15,7.557835220318856e-09,0.012817726055190137,9.687426142431468e-11,2.4e-05,0.00033,0.23,0.4,SAME_LINEAGE_SCALING_PRIOR_NOT_UNIVERSAL,PROXY_FIXED_NOT_FITTED,EXCLUDED_FROM_OBJECTIVE
