# GENERATED by puckworks.analysis.lateral_coupling_discrimination --write; do not hand-edit.
case_id,lambda,G_lat,g_axial_reference,p1_over_Pin,p2_over_Pin,pressure_gap_over_Pin,gap_remaining_fraction,pressure_gap_class,Q_over_Q0,effective_conductance_ratio,q_lat_1to2,q_lat_over_Q,inlet_share_1,outlet_share_1,depthwise_share_transfer_1,p_required_physical_over_uncoupled,alpha_star_share,min_share_residual,exact_share_match_exists,completion_Q_residual,completion_Q_matchable,mathematically_distinguishable,global_residual,condition_number
top_contrast_only,0.0,0.0,0.625,0.75,0.5,0.25,1.0,pressure_gap_unchanged,1.0,1.0,0.0,0.0,0.6,0.6,0.0,1.0,0.0,0.0,True,0.0,True,False,0.0,2.0
top_contrast_only,0.01,0.00625,0.625,0.749611198,0.500777605,0.248833593,0.99533437,pressure_gap_unchanged,1.000311042,1.000311042,1399.688958009,0.001243781,0.600746269,0.599502488,-0.001243781,0.999689055,0.005,2.488e-06,False,0.000311042,False,True,0.0,1.99691391
top_contrast_only,0.05,0.03125,0.625,0.748091603,0.503816794,0.244274809,0.977099237,pressure_gap_unchanged,1.001526718,1.001526718,6870.229007634,0.006097561,0.603658537,0.597560976,-0.006097561,0.99847561,0.024,3.9024e-05,False,0.001526718,False,True,0.0,1.985332838
top_contrast_only,0.1,0.0625,0.625,0.746268657,0.507462687,0.23880597,0.955223881,pressure_gap_unchanged,1.002985075,1.002985075,13432.835820896,0.011904762,0.607142857,0.595238095,-0.011904762,0.99702381,0.048,3.8095e-05,False,0.002985075,False,True,0.0,1.972509102
top_contrast_only,0.25,0.15625,0.625,0.741258741,0.517482517,0.223776224,0.895104895,pressure_gap_transition,1.006993007,1.006993007,31468.531468531,0.027777778,0.616666667,0.588888889,-0.027777778,0.993055556,0.111,1.1111e-05,False,0.006993007,False,True,0.0,1.944102976
top_contrast_only,0.5,0.3125,0.625,0.734177215,0.53164557,0.202531646,0.810126582,pressure_gap_transition,1.012658228,1.012658228,56962.025316456,0.05,0.63,0.58,-0.05,0.9875,0.2,0.0,True,0.012658228,False,True,0.0,1.925191372
top_contrast_only,1.0,0.625,0.625,0.723404255,0.553191489,0.170212766,0.680851064,pressure_gap_transition,1.021276596,1.021276596,95744.680851064,0.083333333,0.65,0.566666667,-0.083333333,0.979166667,0.333,3.3333e-05,False,0.021276596,False,True,0.0,1.964323013
top_contrast_only,2.0,1.25,0.625,0.709677419,0.580645161,0.129032258,0.516129032,pressure_gap_transition,1.032258065,1.032258065,145161.290322581,0.125,0.675,0.55,-0.125,0.96875,0.5,0.0,True,0.032258065,False,True,0.0,2.208492839
top_contrast_only,5.0,3.125,0.625,0.691588785,0.61682243,0.074766355,0.299065421,pressure_gap_transition,1.046728972,1.046728972,210280.373831776,0.178571429,0.707142857,0.528571429,-0.178571429,0.955357143,0.714,2.8571e-05,False,0.046728972,False,True,-0.0,3.307466899
top_contrast_only,10.0,6.25,0.625,0.681318681,0.637362637,0.043956044,0.175824176,pressure_gap_transition,1.054945055,1.054945055,247252.747252747,0.208333333,0.725,0.516666667,-0.208333333,0.947916667,0.833,3.3333e-05,False,0.054945055,False,True,0.0,5.334519722
top_contrast_only,100.0,62.5,0.625,0.668407311,0.663185379,0.005221932,0.020887728,pressure_gap_homogenized,1.065274151,1.065274151,293733.681462138,0.245098039,0.747058824,0.501960784,-0.245098039,0.93872549,0.98,3.9216e-05,False,0.065274151,False,True,0.0,42.783414969
bottom_contrast_only,0.0,0.0,0.625,0.25,0.5,0.25,1.0,pressure_gap_unchanged,1.0,1.0,-0.0,-0.0,0.6,0.6,0.0,1.0,0.0,0.0,True,0.0,True,False,0.0,2.0
bottom_contrast_only,0.01,0.00625,0.625,0.250388802,0.499222395,0.248833593,0.99533437,pressure_gap_unchanged,1.000311042,1.000311042,-1399.688958009,-0.001243781,0.599502488,0.600746269,0.001243781,0.999689055,0.0,0.000746269,False,0.000311042,False,True,0.0,1.99691391
bottom_contrast_only,0.05,0.03125,0.625,0.251908397,0.496183206,0.244274809,0.977099237,pressure_gap_unchanged,1.001526718,1.001526718,-6870.229007634,-0.006097561,0.597560976,0.603658537,0.006097561,0.99847561,0.0,0.003658537,False,0.001526718,False,True,0.0,1.985332838
bottom_contrast_only,0.1,0.0625,0.625,0.253731343,0.492537313,0.23880597,0.955223881,pressure_gap_unchanged,1.002985075,1.002985075,-13432.835820896,-0.011904762,0.595238095,0.607142857,0.011904762,0.99702381,0.0,0.007142857,False,0.002985075,False,True,0.0,1.972509102
bottom_contrast_only,0.25,0.15625,0.625,0.258741259,0.482517483,0.223776224,0.895104895,pressure_gap_transition,1.006993007,1.006993007,-31468.531468531,-0.027777778,0.588888889,0.616666667,0.027777778,0.993055556,0.0,0.016666667,False,0.006993007,False,True,0.0,1.944102976
bottom_contrast_only,0.5,0.3125,0.625,0.265822785,0.46835443,0.202531646,0.810126582,pressure_gap_transition,1.012658228,1.012658228,-56962.025316456,-0.05,0.58,0.63,0.05,0.9875,0.0,0.03,False,0.012658228,False,True,0.0,1.925191372
