t_over_tnu,Dr=0.0005,Dr=0.0010,Dr=0.0050,Dr=0.0200
66.5,0.038842,0.052138,0.076097,0.092855
67.0,0.038995,0.052261,0.075974,0.092672
67.5,0.039072,0.052261,0.075882,0.092472
68.0,0.03921,0.052261,0.07579,0.092304
68.5,0.039301,0.052353,0.075699,0.092151
69.0,0.039393,0.052414,0.075607,0.091967
69.5,0.039485,0.052445,0.075423,0.091829
70.0,0.039577,0.052445,0.075392,0.09163
70.5,0.0397,0.052537,0.075239,0.091385
71.0,0.039761,0.052537,0.075193,0.091232
71.5,0.039822,0.052567,0.075055,0.091078
72.0,0.039945,0.052629,0.074871,0.090864
72.5,0.040037,0.052629,0.074841,0.090711
73.0,0.040129,0.052629,0.074733,0.090496
73.5,0.040129,0.052629,0.074657,0.090343
74.0,0.040312,0.052629,0.074473,0.090129
74.5,0.040312,0.052675,0.074366,0.089991
75.0,0.040374,0.052721,0.074289,0.089792
75.5,0.040496,0.052721,0.074136,0.089623
76.0,0.040527,0.052721,0.074044,0.089424
76.5,0.04068,0.052721,0.073952,0.089256
77.0,0.04068,0.052721,0.073799,0.089087
77.5,0.04068,0.052721,0.073722,0.088934
78.0,0.040833,0.052721,0.073585,0.08875
78.5,0.040864,0.052721,0.073462,0.088505
79.0,0.04091,0.052721,0.073401,0.088382
79.5,0.041017,0.052721,0.073217,0.088168
80.0,0.041048,0.052721,0.073079,0.088015
80.5,0.041048,0.052721,0.073033,0.087892
81.0,0.041186,0.052583,0.072941,0.087647
81.5,0.041232,0.052659,0.072849,0.087525
82.0,0.041232,0.052812,0.072665,0.087341
82.5,0.041278,0.052675,0.072482,0.087142
83.0,0.041354,0.052629,0.072451,0.086973
83.5,0.041415,0.052629,0.072298,0.08682
84.0,0.041415,0.052629,0.072267,0.086667
84.5,0.041415,0.052629,0.072114,0.086498
85.0,0.041538,0.052629,0.071991,0.08636
85.5,0.041599,0.052598,0.07193,0.086115
86.0,0.041599,0.052537,0.071746,0.085993
86.5,0.041599,0.052384,0.071593,0.085809
87.0,0.041691,0.052629,0.071562,0.085625
87.5,0.041691,0.052629,0.071409,0.085441
88.0,0.041737,0.052491,0.071333,0.085303
88.5,0.041783,0.052445,0.071164,0.085104
89.0,0.041783,0.052445,0.071042,0.084951
89.5,0.041783,0.052353,0.070965,0.084798
90.0,0.041814,0.052353,0.070827,0.084614
90.5,0.041875,0.052353,0.070643,0.08443
91.0,0.041875,0.052292,0.070613,0.084338
91.5,0.041875,0.052261,0.07046,0.084154
92.0,0.041936,0.052261,0.070337,0.08394
92.5,0.041967,0.0522,0.070245,0.083787
93.0,0.041967,0.052169,0.070092,0.083603
93.5,0.041967,0.052077,0.07,0.08348
94.0,0.041967,0.052077,0.069862,0.083327
94.5,0.041998,0.052077,0.069755,0.083113
95.0,0.042059,0.052031,0.069678,0.083006
95.5,0.042059,0.051985,0.06951,0.082806
96.0,0.042059,0.051939,0.069403,0.082684
96.5,0.042059,0.051893,0.069326,0.082531
97.0,0.042059,0.051893,0.069173,0.082316
97.5,0.042059,0.051847,0.069035,0.082132
98.0,0.042059,0.051771,0.068958,0.081979
98.5,0.042059,0.05171,0.068805,0.081857
99.0,0.042028,0.05171,0.068744,0.081703
99.5,0.041921,0.051664,0.068621,0.081581
100.0,0.042059,0.051526,0.068437,0.081397
100.5,0.042059,0.051526,0.068346,0.081213
101.0,0.042059,0.051526,0.068208,0.081029
101.5,0.042059,0.051495,0.0681,0.080876
102.0,0.042059,0.051342,0.068024,0.080754
102.5,0.042059,0.051342,0.067855,0.08057
103.0,0.042059,0.051296,0.067702,0.080478
103.5,0.042059,0.05125,0.067672,0.080263
104.0,0.042059,0.051158,0.067518,0.08008
104.5,0.042059,0.051158,0.067381,0.079926
105.0,0.042028,0.051127,0.067304,0.079804
105.5,0.041829,0.05102,0.067151,0.079697
106.0,0.042059,0.050974,0.067089,0.079498
106.5,0.042059,0.050974,0.066967,0.079375
107.0,0.042059,0.050944,0.066814,0.079222
107.5,0.042059,0.050852,0.066691,0.079038
108.0,0.042059,0.05079,0.066599,0.078915
108.5,0.041998,0.05076,0.066446,0.078732
109.0,0.041967,0.050653,0.066369,0.078594
109.5,0.041967,0.050607,0.066232,0.078456
110.0,0.041967,0.050607,0.06614,0.078272
110.5,0.041967,0.050484,0.066048,0.07815
111.0,0.041967,0.050423,0.065864,0.077996
111.5,0.041921,0.050423,0.065726,0.077812
112.0,0.041875,0.050331,0.06568,0.077721
112.5,0.041875,0.050239,0.065542,0.077537
113.0,0.041875,0.050239,0.065466,0.077384
