sample,location_x_mm,location_y_mm,location_z_mm,porosity,tortuosity,kD_1e-13_m2,kF_1e-13_m2,kF1_1e-9_m2
1,0,12.89,0,0.141,2.61,1.34,2.29,0.45
2,3.35,14.56,-5.02,0.196,1.55,27.6,69.8,53.1
3,-10.04,16.24,3.35,0.204,1.60,13.4,28.8,20.7
4,6.70,17.91,-10.04,0.132,2.71,0.27,,
5,-1.67,19.58,3.35,0.131,,0,,
6,-8.34,20.42,8.34,0.164,1.76,4.59,7.40,2.17
