omega,T_degC,refractive_index_nD20,density_kg_m-3,thermal_conductivity_W_m-1_degC-1
0.22,25,1.37534,1087.304,0.53443
0.22,40,1.37534,1079.815,0.55323
0.22,60,1.37534,1066.668,0.57474
0.22,80,1.37534,1049.895,0.59215
0.22,95,1.37534,1034.925,0.60252
0.23,20,1.37747,1093.918,0.52441
0.23,25,1.37747,1091.821,0.53115
0.23,40,1.37747,1084.169,0.54984
0.23,60,1.37747,1070.787,0.57121
0.23,80,1.37747,1053.759,0.58852
0.23,95,1.37747,1038.584,0.59883
0.24,20,1.37962,1098.525,0.52118
0.24,25,1.37962,1096.375,0.52788
0.24,40,1.37962,1088.558,0.54645
0.24,60,1.37962,1074.938,0.56769
0.24,80,1.37962,1057.651,0.58489
0.24,95,1.37962,1042.269,0.59514
0.25,20,1.38178,1103.171,0.51794
0.25,25,1.38178,1100.968,0.5246
0.25,40,1.38178,1092.983,0.54306
0.25,60,1.38178,1079.121,0.56417
0.25,80,1.38178,1061.573,0.58126
0.25,95,1.38178,1045.98,0.59145
0.26,20,1.38396,1107.857,0.51471
0.26,25,1.38396,1105.599,0.52133
0.26,40,1.38396,1097.444,0.53967
0.26,60,1.38396,1083.337,0.56065
0.26,80,1.38396,1065.523,0.57763
0.26,95,1.38396,1049.718,0.58776
0.27,20,1.38617,1112.582,0.51148
0.27,25,1.38617,1110.27,0.51805
0.27,40,1.38617,1101.941,0.53628
0.27,60,1.38617,1087.587,0.55713
0.27,80,1.38617,1069.503,0.57401
0.27,95,1.38617,1053.483,0.58406
0.28,20,1.38839,1117.348,0.50824
0.28,25,1.38839,1114.98,0.51478
0.28,40,1.38839,1106.476,0.53289
0.28,60,1.38839,1091.869,0.5536
0.28,80,1.38839,1073.513,0.57038
0.28,95,1.38839,1057.274,0.58037
0.29,20,1.39062,1122.156,0.50501
0.29,25,1.39062,1119.73,0.5115
0.29,40,1.39062,1111.048,0.5295
0.29,60,1.39062,1096.186,0.55008
0.29,80,1.39062,1077.554,0.56675
0.29,95,1.39062,1061.093,0.57668
0.3,20,1.39288,1127.004,0.50178
0.3,25,1.39288,1124.521,0.50823
0.3,40,1.39288,1115.658,0.52611
0.3,60,1.39288,1100.536,0.54656
0.3,80,1.39288,1081.624,0.56312
0.3,95,1.39288,1064.94,0.57299
0.31,20,1.39515,1131.895,0.49854
0.31,25,1.39515,1129.353,0.50495
0.31,40,1.39515,1120.306,0.52272
0.31,60,1.39515,1104.922,0.54304
0.31,80,1.39515,1085.726,0.55949
0.31,95,1.39515,1068.815,0.56929
0.32,20,1.39744,1136.828,0.49531
0.32,25,1.39744,1134.227,0.50168
0.32,40,1.39744,1124.993,0.51933
0.32,60,1.39744,1109.342,0.53952
0.32,80,1.39744,1089.859,0.55586
0.32,95,1.39744,1072.718,0.5656
0.33,20,1.39975,1141.805,0.49208
0.33,25,1.39975,1139.143,0.4984
0.33,40,1.39975,1129.72,0.51594
0.33,60,1.39975,1113.798,0.53599
0.33,80,1.39975,1094.023,0.55223
0.33,95,1.39975,1076.65,0.56191
0.34,20,1.40208,1146.825,0.48884
0.34,25,1.40208,1144.101,0.49513
0.34,40,1.40208,1134.486,0.51255
0.34,60,1.40208,1118.29,0.53247
0.34,80,1.40208,1098.219,0.5486
0.34,95,1.40208,1080.61,0.55822
0.35,20,1.40442,1151.89,0.48561
0.35,25,1.40442,1149.104,0.49185
0.35,40,1.40442,1139.293,0.50916
0.35,60,1.40442,1122.818,0.52895
0.35,80,1.40442,1102.448,0.54498
0.35,95,1.40442,1084.6,0.55453
0.36,20,1.40678,1156.999,0.48238
0.36,25,1.40678,1154.15,0.48858
0.36,40,1.40678,1144.141,0.50577
0.36,60,1.40678,1127.383,0.52543
0.36,80,1.40678,1106.709,0.54135
0.36,95,1.40678,1088.619,0.55083
0.37,20,1.40916,1162.155,0.47914
0.37,25,1.40916,1159.24,0.4853
0.37,40,1.40916,1149.03,0.50238
0.37,60,1.40916,1131.986,0.52191
0.37,80,1.40916,1111.004,0.53772
0.37,95,1.40916,1092.669,0.54714
0.38,20,1.41156,1167.356,0.47591
0.38,25,1.41156,1164.376,0.48203
0.38,40,1.41156,1153.961,0.49899
0.38,60,1.41156,1136.626,0.51838
0.38,80,1.41156,1115.332,0.53409
0.38,95,1.41156,1096.748,0.54345
0.39,20,1.41397,1172.604,0.47268
0.39,25,1.41397,1169.557,0.47875
0.39,40,1.41397,1158.935,0.4956
0.39,60,1.41397,1141.304,0.51486
0.39,80,1.41397,1119.693,0.53046
0.39,95,1.41397,1100.858,0.53976
0.4,20,1.41641,1177.899,0.46944
0.4,25,1.41641,1174.785,0.47548
0.4,40,1.41641,1163.952,0.49221
0.4,60,1.41641,1146.021,0.51134
0.4,80,1.41641,1124.089,0.52683
0.4,95,1.41641,1104.999,0.53606
0.41,20,1.41886,1183.243,0.46621
0.41,25,1.41886,1180.06,0.4722
0.41,40,1.41886,1169.012,0.48882
0.41,60,1.41886,1150.777,0.50782
0.41,80,1.41886,1128.52,0.5232
0.41,95,1.41886,1109.172,0.53237
0.42,20,1.42133,1188.635,0.46298
0.42,25,1.42133,1185.382,0.46893
0.42,40,1.42133,1174.116,0.48543
0.42,60,1.42133,1155.573,0.5043
0.42,80,1.42133,1132.986,0.51957
0.42,95,1.42133,1113.376,0.52868
0.43,20,1.42382,1194.076,0.45974
