omega,T_degC,kappa_eq9_S_m-1,kappa_eq10_modified_casteel_amis_S_m-1
0.28,30,1.603403,1.619001
0.28,40,1.963073,2.034988
0.28,50,2.347295,2.446803
0.28,60,2.757398,2.853135
0.28,70,3.194773,3.252726
0.28,72,3.285648,3.331728
0.29,25,1.429013,1.409394
0.29,30,1.600902,1.619824
0.29,40,1.963104,2.039434
0.29,50,2.351024,2.45622
0.29,60,2.766113,2.868833
0.29,70,3.209894,3.275967
0.29,72,3.302233,3.356624
0.3,25,1.423269,1.405446
0.3,30,1.59574,1.616648
0.3,40,1.959891,2.038845
0.3,50,2.35091,2.459589
0.3,60,2.770371,2.8775
0.3,70,3.219937,3.291232
0.3,72,3.313614,3.373362
0.31,25,1.41526,1.398094
0.31,30,1.588038,1.609548
0.31,40,1.953572,2.033292
0.31,50,2.347099,2.456963
0.31,60,2.770327,2.879161
0.31,70,3.225059,3.298514
0.31,72,3.319952,3.381925
0.32,25,1.405098,1.387433
0.32,30,1.577918,1.598622
0.32,40,1.94428,2.022872
0.32,50,2.339738,2.448431
0.32,60,2.766135,2.873889
0.32,70,3.225421,3.297853
0.32,72,3.321404,3.382347
0.33,25,1.392893,1.373574
0.33,30,1.565496,1.583988
0.33,40,1.93215,2.007712
0.33,50,2.328972,2.434118
0.33,60,2.757947,2.861794
0.33,70,3.221178,3.28934
0.33,72,3.318129,3.374712
0.34,25,1.378754,1.356647
0.34,30,1.550892,1.565787
0.34,40,1.917313,1.987968
0.34,50,2.314944,2.414183
0.34,60,2.745915,2.84303
0.34,70,3.212489,3.273113
0.34,72,3.310284,3.359156
0.35,25,1.362789,1.336798
0.35,30,1.53422,1.544179
0.35,40,1.899899,1.963819
0.35,50,2.297796,2.388816
0.35,60,2.730192,2.817791
0.35,70,3.199509,3.249356
0.35,72,3.298028,3.335859
0.36,25,1.345102,1.314188
0.36,30,1.515594,1.519341
0.36,40,1.880037,1.935468
0.36,50,2.27767,2.35824
0.36,60,2.710925,2.786305
0.36,70,3.182395,3.218299
0.36,72,3.281515,3.305049
0.37,25,1.325797,1.288991
0.37,30,1.495127,1.491467
0.37,40,1.857854,1.903143
0.37,50,2.254705,2.322705
0.37,60,2.688266,2.748839
0.37,70,3.161302,3.180212
0.37,72,3.260903,3.266997
0.38,25,1.304978,1.261392
0.38,30,1.472929,1.460763
0.38,40,1.833477,1.867087
0.38,50,2.229039,2.282484
0.38,60,2.662362,2.705688
0.38,70,3.136385,3.135404
0.38,72,3.236347,3.222014
0.39,25,1.282744,1.231586
0.39,30,1.449109,1.427449
0.39,40,1.807029,1.827563
0.39,50,2.200811,2.237876
0.39,60,2.63336,2.657178
0.39,70,3.107798,3.084222
0.39,72,3.208003,3.170448
0.4,25,1.259194,1.199776
0.4,30,1.423774,1.391752
0.4,40,1.778634,1.784846
0.4,50,2.170155,2.189198
0.4,60,2.601407,2.60366
0.4,70,3.075695,3.027041
0.4,72,3.176025,3.112681
0.41,25,1.234424,1.16617
0.41,30,1.397031,1.35391
0.41,40,1.748411,1.739224
0.41,50,2.137206,2.136784
0.41,60,2.566648,2.545508
0.41,70,3.040228,2.964269
0.41,72,3.140567,3.049123
0.42,25,1.208532,1.130981
0.42,30,1.368982,1.314164
0.42,40,1.716482,1.690994
0.42,50,2.102097,2.080979
0.42,60,2.529228,2.483112
0.42,70,3.001551,2.896333
0.42,72,3.101783,2.980211
0.43,25,1.181609,1.094424
0.43,30,1.339729,1.272758
0.43,40,1.682964,1.640459
0.43,50,2.064961,2.022142
0.43,60,2.489288,2.416879
0.43,70,2.959814,2.823684
0.43,72,3.059826,2.906403
0.44,25,1.153748,1.056713
0.44,30,1.309374,1.229938
0.44,40,1.647972,1.587925
0.44,50,2.025927,1.960635
0.44,60,2.446973,2.347225
0.44,70,2.915169,2.746787
0.44,72,3.014848,2.828172
0.45,25,1.125038,1.018062
0.45,30,1.278014,1.18595
0.45,40,1.611623,1.533698
0.45,50,1.985124,1.896826
0.45,60,2.402421,2.274574
0.45,70,2.867767,2.666118
0.45,72,2.967002,2.746006
0.46,25,1.08516,0.97868
0.46,30,1.233876,1.141035
0.46,40,1.558958,1.478086
0.46,50,1.924019,1.831082
0.46,60,2.333089,2.199353
0.46,70,2.790569,2.582161
0.46,72,2.88829,2.660398
0.47,25,1.037857,0.938773
0.47,30,1.181191,1.09543
0.47,40,1.49526,1.421388
0.47,50,1.849038,1.763767
0.47,60,2.246647,2.121989
0.47,70,2.692603,2.495403
0.47,72,2.788023,2.571846
0.48,25,0.990295,0.89854
0.48,30,1.128123,1.049367
0.48,40,1.43086,1.363899
0.48,50,1.772934,1.695242
0.48,60,2.158552,2.042904
0.48,70,2.592333,2.406327
0.48,72,2.685306,2.480849
0.49,25,0.942664,0.858171
0.49,30,1.074885,1.003068
0.49,40,1.36602,1.305906
0.49,50,1.696023,1.625856
0.49,60,2.069173,1.962516
0.49,70,2.490181,2.315415
0.49,72,2.580572,2.387897
0.5,25,0.895147,0.81785
0.5,30,1.021684,0.956745
0.5,40,1.300998,1.247685
0.5,50,1.618615,1.55595
0.5,60,1.978875,1.881228
0.5,70,2.386568,2.223136
0.5,72,2.474254,2.293475
0.51,25,0.847922,0.77775
0.51,30,0.968721,0.910601
0.51,40,1.236045,1.189499
0.51,50,1.541014,1.485851
0.51,60,1.888017,1.799433
0.51,70,2.281912,2.12995
0.51,72,2.366781,2.198055
0.52,25,0.801157,0.738031
0.52,30,0.916188,0.864827
0.52,40,1.171402,1.131597
0.52,50,1.463514,1.415871
0.52,60,1.796951,1.717508
0.52,70,2.176622,2.0363
0.52,72,2.258573,2.102093
0.53,25,0.755012,0.698845
0.53,30,0.864268,0.819599
0.53,40,1.107301,1.074215
0.53,50,1.386401,1.346306
0.53,60,1.706018,1.635812
0.53,70,2.071101,1.942609
0.53,72,2.150048,2.006027
0.54,25,0.70964,0.66033
0.54,30,0.813135,0.775082
0.54,40,1.043965,1.01757
0.54,50,1.30995,1.277431
0.54,60,1.615551,1.554682
0.54,70,1.965744,1.84928
0.54,72,2.041611,1.910273
0.55,25,0.665181,0.622612
0.55,30,0.762953,0.731425
0.55,40,0.981603,0.961864
0.55,50,1.234424,1.209504
0.55,60,1.52587,1.474437
0.55,70,1.860931,1.756695
0.55,72,1.933657,1.815224
0.56,25,0.621769,0.585803
0.56,30,0.713873,0.688764
0.56,40,0.920415,0.907279
0.56,50,1.160071,1.142761
0.56,60,1.437282,1.395369
0.56,70,1.757031,1.665207
0.56,72,1.826566,1.721247
0.57,25,0.579523,0.550005
0.57,30,0.666038,0.647219
0.57,40,0.860585,0.853982
0.57,50,1.087129,1.077417
0.57,60,1.350078,1.317747
0.57,70,1.654399,1.575145
0.57,72,1.720708,1.628683
0.58,25,0.538555,0.515304
0.58,30,0.619575,0.606896
0.58,40,0.802285,0.80212
0.58,50,1.015816,1.013666
0.58,60,1.264535,1.241817
0.58,70,1.553371,1.486808
0.58,72,1.616431,1.537844
0.59,25,0.498963,0.481776
0.59,30,0.574603,0.567887
0.59,40,0.745672,0.751819
0.59,50,0.946339,0.951677
