rate_scale,fraction_mape,sampled_aggregate_mape,exact_cup_mape
0.25,22.66,4.87,3.94
0.4,14.65,4.44,2.69
0.6,9.43,4.23,2.14
0.8,7.2,4.16,1.93
1.0,7.03,4.13,1.95
1.4,10.45,4.21,1.99
2.0,17.13,4.37,2.08
3.0,25.32,4.6,2.17
4.0,30.75,4.76,2.22
