rate_scale,fraction_mape,sampled_aggregate_mape,exact_cup_mape
0.25,20.47,3.4,3.39
0.4,12.55,2.84,2.38
0.6,7.79,2.56,1.97
0.8,6.04,2.63,1.92
1.0,6.41,2.76,1.95
1.4,9.0,2.99,2.0
2.0,13.56,3.23,2.11
3.0,19.78,3.49,2.28
4.0,24.44,3.65,2.41
