rate_scale,best_c_s0,profiled_sse
0.15,20.04158465602257,0.5756944563000415
0.1716126079088608,19.220597575077665,0.5456194597645001
0.19633924795520258,18.445713617062907,0.5125001262915586
0.22462860250971187,17.718827385949627,0.4785413994930981
0.2569940019174301,17.04048101323344,0.44593012076904637
0.29402273923989974,16.409966384289664,0.4165254928664708
0.33638672710310746,15.825509311059397,0.3916934141138147
0.38485469002727024,15.284573899190935,0.37221405358703685
0.4403061134769072,14.784044317736065,0.35820211909111904
0.5037472027465789,14.320536200654429,0.349235686788975
0.5763291412675603,13.890603778401594,0.3445525638132447
0.6593689796453351,13.490984762454799,0.34318831697683055
0.7543735344742699,13.118704671913749,0.3441300904508507
0.8630667305903623,12.77121782944287,0.34648071760932786
0.9874208829065749,12.446438531779387,0.3494754773014227
1.1296924854617811,12.142742986431308,0.3525674123595844
1.2924631571009273,11.858922530140298,0.3553970970234932
1.4786864867747318,11.594109855695,0.3577826015564758
1.6917416285000193,11.34769523025213,0.359685277499254
1.9354946184991426,11.119205989807252,0.36116106569304773
2.2143685271613567,10.908244764592801,0.36230261198022234
2.533423718783089,10.714377535559107,0.3632360175946724
2.8984496754568694,10.53709448702442,0.3640705193231982
3.316070051318296,10.375781451193937,0.3648601419923031
3.793862863434683,10.22971756785888,0.36567162356796523
4.340498000284029,10.098079458759015,0.36651499929153436
4.965894543012914,9.980004499456463,0.3673763447218947
5.681400754178846,9.874606146928006,0.36825562382238886
6.5,9.780989438665198,0.3691340600642663
