parameter,value,std,model
k_solids__g,2.257390325360356,0.0007556810874470512,0.5 * k * (1 - tanh((t - l) / m))
l_solids__s,19.833265422011824,0.013966351323588139,0.5 * k * (1 - tanh((t - l) / m))
m_solids__s,9.341259347305948,0.024289147370283773,0.5 * k * (1 - tanh((t - l) / m))
first_drop_offset__s,8.0,0.0,0.5 * k * (1 - tanh((t - l) / m))
