reference_pressure_round__bar,shot_id,window,n_samples,basket_pressure__bar,mass_flow_rate__g_per_s
4.00000,4-4b,mean_110_120s,103,3.63666,1.84720
4.00000,4-5,endpoint_100s,2,3.70944,1.86664
4.00000,4-5,mean_90_100s,107,3.71755,1.83683
4.00000,4-5,mean_110_120s,97,3.64757,1.99097
4.00000,4-5b,endpoint_100s,3,3.66905,1.61154
4.00000,4-5b,mean_90_100s,107,3.67177,1.59565
4.00000,4-5b,mean_110_120s,107,3.65543,1.70566
5.00000,5-1,endpoint_100s,2,4.49067,2.05655
5.00000,5-1,mean_90_100s,107,4.51753,2.01704
5.00000,5-1,mean_110_120s,107,4.46610,2.00823
5.00000,5-2,endpoint_100s,2,4.53331,2.06798
5.00000,5-2,mean_90_100s,107,4.53877,2.04678
5.00000,5-2,mean_110_120s,95,4.50951,2.08581
5.00000,5-3,endpoint_100s,2,4.54221,2.15813
5.00000,5-3,mean_90_100s,107,4.51260,2.11666
5.00000,5-3,mean_110_120s,94,4.06277,1.72622
5.00000,5-4,endpoint_100s,2,4.46621,2.00099
5.00000,5-4,mean_90_100s,107,4.46290,2.02965
5.00000,5-4,mean_110_120s,92,4.38059,1.95376
5.00000,5-5,endpoint_100s,2,4.49181,1.88398
5.00000,5-5,mean_90_100s,107,4.50742,1.91285
5.00000,5-5,mean_110_120s,107,4.50926,1.96660
6.00000,6-1,endpoint_100s,2,5.59778,1.96328
6.00000,6-1,mean_90_100s,107,5.62212,1.96472
6.00000,6-1,mean_110_120s,89,5.63359,1.97179
6.00000,6-2,endpoint_100s,2,5.55347,1.94945
6.00000,6-2,mean_90_100s,107,5.62386,1.98644
6.00000,6-2,mean_110_120s,103,5.57127,2.02985
6.00000,6-3,endpoint_100s,2,5.61678,2.22997
6.00000,6-3,mean_90_100s,107,5.57003,2.25577
6.00000,6-3,mean_110_120s,107,5.56199,2.31967
6.00000,6-4,endpoint_100s,2,5.63749,2.02783
6.00000,6-4,mean_90_100s,107,5.62009,2.08190
6.00000,6-4,mean_110_120s,107,5.59621,2.13864
