sample_label,origin,species_common,species_scientific,roast_profile,compound,compound_code,mean,sd,unit,basis,n_measurements,source_doi,source_table,source_url,license,notes
Mix Rwanda,Rwanda,Arabica,Coffea arabica L.,medium,Trigonelline,TR,305.83,7.26,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Nicaragua,Nicaragua,Robusta,Coffea canephora Pierre ex A. Froehner,hard,Trigonelline,TR,227.18,10.85,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Indonesia,Indonesia,Robusta,Coffea canephora Pierre ex A. Froehner,hard,Trigonelline,TR,220.58,10.55,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Mexico,Mexico,Arabica,Coffea arabica L.,medium,Ferulic acid,FA,28.35,0.36,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Rwanda,Rwanda,Arabica,Coffea arabica L.,medium,Ferulic acid,FA,34.96,2.49,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Nicaragua,Nicaragua,Robusta,Coffea canephora Pierre ex A. Froehner,hard,Ferulic acid,FA,32.31,0.73,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Indonesia,Indonesia,Robusta,Coffea canephora Pierre ex A. Froehner,hard,Ferulic acid,FA,33.29,2.42,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Mexico,Mexico,Arabica,Coffea arabica L.,medium,Tartaric acid,TA,41.24,0.95,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Rwanda,Rwanda,Arabica,Coffea arabica L.,medium,Tartaric acid,TA,40.00,0.80,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Nicaragua,Nicaragua,Robusta,Coffea canephora Pierre ex A. Froehner,hard,Tartaric acid,TA,43.72,1.55,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
