pressure_bar,temperature_C,10kgF_mg_per_40ml,10kgF_mg_per_ml,10kgF_RSD_pct,15kgF_mg_per_40ml,15kgF_mg_per_ml,15kgF_RSD_pct,20kgF_mg_per_40ml,20kgF_mg_per_ml,20kgF_RSD_pct,30kgF_mg_per_40ml,30kgF_mg_per_ml,30kgF_RSD_pct
7,88,131.84,3.29,2.9,144.31,3.61,1.9,140.67,3.52,3.9,138.49,3.46,5.1
9,88,133.3,3.33,1.6,133.22,3.33,2.9,136.17,3.4,1.6,134.38,3.36,5.7
11,88,128.09,3.2,2.0,131.64,3.29,3.0,128.56,3.21,7.7,125.94,3.15,2.5
7,93,137.54,3.44,2.9,143.14,3.58,3.4,134.98,3.37,0.6,142.65,3.57,0.9
9,93,150.24,3.76,4.2,138.92,3.47,3.5,150.75,3.77,4.1,141.0,3.53,1.7
11,93,136.31,3.41,2.9,134.27,3.36,1.5,139.92,3.5,3.6,138.43,3.46,4.1
7,98,141.6,3.54,1.3,129.41,3.24,6.1,141.94,3.55,1.4,136.02,3.4,0.8
9,98,139.52,3.49,3.8,138.56,3.46,2.0,137.94,3.45,3.0,134.26,3.36,3.9
11,98,138.01,3.45,3.9,137.5,3.44,4.5,133.12,3.33,0.9,134.66,3.37,0.6
