pressure_bar,temperature_C,10kgF_mg_per_40ml,10kgF_mg_per_ml,10kgF_RSD_pct,15kgF_mg_per_40ml,15kgF_mg_per_ml,15kgF_RSD_pct,20kgF_mg_per_40ml,20kgF_mg_per_ml,20kgF_RSD_pct,30kgF_mg_per_40ml,30kgF_mg_per_ml,30kgF_RSD_pct
7,88,120.95,3.02,0.1,130.3,3.26,0.6,126.96,3.17,3.9,127.76,3.19,4.0
9,88,123.05,3.08,1.9,123.81,3.1,0.2,124.45,3.11,3.5,123.34,3.08,0.8
11,88,118.52,2.96,1.0,122.93,3.07,2.9,118.49,2.96,5.0,115.39,2.88,1.5
7,93,124.89,3.12,2.6,130.63,3.27,2.4,125.21,3.13,0.5,129.03,3.23,0.2
9,93,131.18,3.28,2.4,127.26,3.18,1.7,134.13,3.35,1.0,128.95,3.22,0.2
11,93,122.74,3.07,3.6,124.27,3.11,1.9,126.45,3.16,0.1,128.23,3.21,3.3
7,98,125.78,3.14,0.4,117.76,2.94,8.2,129.92,3.25,0.9,122.14,3.05,0.5
9,98,129.22,3.23,1.4,127.17,3.18,2.1,124.17,3.1,1.5,121.59,3.04,2.7
11,98,126.66,3.17,2.8,123.56,3.09,3.6,119.18,2.98,0.3,121.41,3.04,1.3
