pressure_bar,temperature_C,10kgF_mg_per_40ml,10kgF_mg_per_ml,10kgF_RSD_pct,15kgF_mg_per_40ml,15kgF_mg_per_ml,15kgF_RSD_pct,20kgF_mg_per_40ml,20kgF_mg_per_ml,20kgF_RSD_pct,30kgF_mg_per_40ml,30kgF_mg_per_ml,30kgF_RSD_pct
7,88,2.72,0.07,11.7,3.17,0.08,9.7,2.78,0.07,5.1,3.0,0.08,6.5
9,88,3.35,0.08,5.8,3.12,0.08,6.8,3.23,0.08,11.4,3.2,0.08,10.0
11,88,3.29,0.08,8.8,3.05,0.08,0.1,3.64,0.09,6.1,3.05,0.08,21.5
7,93,5.24,0.13,0.9,6.41,0.16,16.6,4.65,0.12,3.8,5.21,0.13,6.3
9,93,7.68,0.19,0.2,6.7,0.17,3.9,7.44,0.19,2.8,6.67,0.17,4.5
11,93,4.45,0.11,2.2,4.51,0.11,0.1,4.77,0.12,0.9,4.66,0.12,10.8
7,98,2.68,0.07,2.4,2.72,0.07,18.7,3.15,0.08,2.8,2.78,0.07,3.3
9,98,2.84,0.07,3.2,2.83,0.07,2.7,2.23,0.06,10.8,1.83,0.05,6.1
11,98,2.55,0.06,15.9,2.74,0.07,14.8,2.22,0.06,8.0,2.06,0.05,6.7
