dry_solids_mass_fraction,a_mPa_s,b_dimensionless,equation,temperature_input_unit,valid_temperature_min_C,valid_temperature_max_C,mean_approximation_error_percent,source_doi,source_table,license,notes,status
0.15,3.85,-0.741,mu_mPa_s = a * (temperature_C / 100) ** b,degC,20,80,4.0,10.1088/1755-1315/548/2/022040,Table 2,CC BY 3.0,No coefficient row was published for f=0.25. Literal evaluation with T in degC does not reproduce Table 1-derived dynamic viscosity; request author clarification.,TRANSCRIPTION ONLY — DO NOT EVALUATE UNTIL EQUATION CONVENTION IS CLARIFIED
0.20,6.5,-0.851,mu_mPa_s = a * (temperature_C / 100) ** b,degC,20,80,4.8,10.1088/1755-1315/548/2/022040,Table 2,CC BY 3.0,No coefficient row was published for f=0.25. Literal evaluation with T in degC does not reproduce Table 1-derived dynamic viscosity; request author clarification.,TRANSCRIPTION ONLY — DO NOT EVALUATE UNTIL EQUATION CONVENTION IS CLARIFIED
0.30,12.1,-0.984,mu_mPa_s = a * (temperature_C / 100) ** b,degC,20,80,4.6,10.1088/1755-1315/548/2/022040,Table 2,CC BY 3.0,No coefficient row was published for f=0.25. Literal evaluation with T in degC does not reproduce Table 1-derived dynamic viscosity; request author clarification.,TRANSCRIPTION ONLY — DO NOT EVALUATE UNTIL EQUATION CONVENTION IS CLARIFIED
0.35,32.8,-1.090,mu_mPa_s = a * (temperature_C / 100) ** b,degC,20,80,4.1,10.1088/1755-1315/548/2/022040,Table 2,CC BY 3.0,No coefficient row was published for f=0.25. Literal evaluation with T in degC does not reproduce Table 1-derived dynamic viscosity; request author clarification.,TRANSCRIPTION ONLY — DO NOT EVALUATE UNTIL EQUATION CONVENTION IS CLARIFIED
0.40,84.79,-1.084,mu_mPa_s = a * (temperature_C / 100) ** b,degC,20,80,8.6,10.1088/1755-1315/548/2/022040,Table 2,CC BY 3.0,No coefficient row was published for f=0.25. Literal evaluation with T in degC does not reproduce Table 1-derived dynamic viscosity; request author clarification.,TRANSCRIPTION ONLY — DO NOT EVALUATE UNTIL EQUATION CONVENTION IS CLARIFIED
0.45,215.27,-1.335,mu_mPa_s = a * (temperature_C / 100) ** b,degC,20,80,5.6,10.1088/1755-1315/548/2/022040,Table 2,CC BY 3.0,No coefficient row was published for f=0.25. Literal evaluation with T in degC does not reproduce Table 1-derived dynamic viscosity; request author clarification.,TRANSCRIPTION ONLY — DO NOT EVALUATE UNTIL EQUATION CONVENTION IS CLARIFIED
0.50,363.86,-1.590,mu_mPa_s = a * (temperature_C / 100) ** b,degC,20,80,13.8,10.1088/1755-1315/548/2/022040,Table 2,CC BY 3.0,No coefficient row was published for f=0.25. Literal evaluation with T in degC does not reproduce Table 1-derived dynamic viscosity; request author clarification.,TRANSCRIPTION ONLY — DO NOT EVALUATE UNTIL EQUATION CONVENTION IS CLARIFIED
0.60,4931,-1.637,mu_mPa_s = a * (temperature_C / 100) ** b,degC,20,80,9.2,10.1088/1755-1315/548/2/022040,Table 2,CC BY 3.0,No coefficient row was published for f=0.25. Literal evaluation with T in degC does not reproduce Table 1-derived dynamic viscosity; request author clarification.,TRANSCRIPTION ONLY — DO NOT EVALUATE UNTIL EQUATION CONVENTION IS CLARIFIED
0.70,3.0056e+05,-2.004,mu_mPa_s = a * (temperature_C / 100) ** b,degC,20,80,16.2,10.1088/1755-1315/548/2/022040,Table 2,CC BY 3.0,No coefficient row was published for f=0.25. Literal evaluation with T in degC does not reproduce Table 1-derived dynamic viscosity; request author clarification.,TRANSCRIPTION ONLY — DO NOT EVALUATE UNTIL EQUATION CONVENTION IS CLARIFIED
