exp,rep,doe_role,target_flow_ml_s,scale_flow_ml_s,grind_level,target_temp_C,decent_temp_C,pressure_max_bar,component,brew_ratio,mass_in_cup,mass_units,conc_in_cup
2.0,1.0,DoE Axis Point,3.0,2.80839,1.7,89.0,88.10432,7.39,caffeine,1/2,178.3401,mg,4.4585025
2.0,1.0,DoE Axis Point,3.0,2.80839,1.7,89.0,88.10432,7.39,caffeine,1/3,202.07753,mg,3.3679588333333332
2.0,1.0,DoE Axis Point,3.0,2.80839,1.7,89.0,88.10432,7.39,5-CQA,1/1,79.10792,mg,3.9553959999999995
2.0,1.0,DoE Axis Point,3.0,2.80839,1.7,89.0,88.10432,7.39,5-CQA,1/2,110.07044,mg,2.751761
2.0,1.0,DoE Axis Point,3.0,2.80839,1.7,89.0,88.10432,7.39,5-CQA,1/3,122.18904,mg,2.036484
2.0,1.0,DoE Axis Point,3.0,2.80839,1.7,89.0,88.10432,7.39,TDS,1/1,2.81912,g,0.140956
2.0,1.0,DoE Axis Point,3.0,2.80839,1.7,89.0,88.10432,7.39,TDS,1/2,3.75006,g,0.0937515
2.0,1.0,DoE Axis Point,3.0,2.80839,1.7,89.0,88.10432,7.39,TDS,1/3,4.05748,g,0.06762466666666667
2.0,2.0,DoE Axis Point,3.0,2.87666,1.7,89.0,88.66184,4.8,trigonelline,1/1,75.07772,mg,3.753886
2.0,2.0,DoE Axis Point,3.0,2.87666,1.7,89.0,88.66184,4.8,trigonelline,1/2,96.65804,mg,2.416451
2.0,2.0,DoE Axis Point,3.0,2.87666,1.7,89.0,88.66184,4.8,trigonelline,1/3,102.86108,mg,1.7143513333333333
2.0,2.0,DoE Axis Point,3.0,2.87666,1.7,89.0,88.66184,4.8,caffeine,1/1,132.05275,mg,6.6026375
2.0,2.0,DoE Axis Point,3.0,2.87666,1.7,89.0,88.66184,4.8,caffeine,1/2,188.98459,mg,4.72461475
2.0,2.0,DoE Axis Point,3.0,2.87666,1.7,89.0,88.66184,4.8,caffeine,1/3,213.52959,mg,3.5588265000000003
2.0,2.0,DoE Axis Point,3.0,2.87666,1.7,89.0,88.66184,4.8,5-CQA,1/1,83.76733,mg,4.1883665
2.0,2.0,DoE Axis Point,3.0,2.87666,1.7,89.0,88.66184,4.8,5-CQA,1/2,116.12595,mg,2.90314875
2.0,2.0,DoE Axis Point,3.0,2.87666,1.7,89.0,88.66184,4.8,5-CQA,1/3,128.62581,mg,2.1437635
2.0,2.0,DoE Axis Point,3.0,2.87666,1.7,89.0,88.66184,4.8,TDS,1/1,2.88958,g,0.144479
2.0,2.0,DoE Axis Point,3.0,2.87666,1.7,89.0,88.66184,4.8,TDS,1/2,3.82825,g,0.09570625
2.0,2.0,DoE Axis Point,3.0,2.87666,1.7,89.0,88.66184,4.8,TDS,1/3,4.13317,g,0.06888616666666666
2.0,3.0,DoE Axis Point,3.0,2.84145,1.7,89.0,87.91424,3.76,trigonelline,1/1,76.17515,mg,3.8087575
2.0,3.0,DoE Axis Point,3.0,2.84145,1.7,89.0,87.91424,3.76,trigonelline,1/2,99.64399,mg,2.49109975
2.0,3.0,DoE Axis Point,3.0,2.84145,1.7,89.0,87.91424,3.76,trigonelline,1/3,106.87452,mg,1.781242
2.0,3.0,DoE Axis Point,3.0,2.84145,1.7,89.0,87.91424,3.76,caffeine,1/1,132.05275,mg,6.6026375
2.0,3.0,DoE Axis Point,3.0,2.84145,1.7,89.0,87.91424,3.76,caffeine,1/2,184.46422,mg,4.6116055000000005
2.0,3.0,DoE Axis Point,3.0,2.84145,1.7,89.0,87.91424,3.76,caffeine,1/3,208.93291,mg,3.4822151666666668
2.0,3.0,DoE Axis Point,3.0,2.84145,1.7,89.0,87.91424,3.76,5-CQA,1/1,83.95035,mg,4.1975175
2.0,3.0,DoE Axis Point,3.0,2.84145,1.7,89.0,87.91424,3.76,5-CQA,1/2,117.00522,mg,2.9251305
2.0,3.0,DoE Axis Point,3.0,2.84145,1.7,89.0,87.91424,3.76,5-CQA,1/3,130.02035,mg,2.1670058333333335
2.0,3.0,DoE Axis Point,3.0,2.84145,1.7,89.0,87.91424,3.76,TDS,1/1,2.91565,g,0.14578249999999998
2.0,3.0,DoE Axis Point,3.0,2.84145,1.7,89.0,87.91424,3.76,TDS,1/2,3.85875,g,0.09646875
2.0,3.0,DoE Axis Point,3.0,2.84145,1.7,89.0,87.91424,3.76,TDS,1/3,4.16381,g,0.06939683333333332
3.0,1.0,DoE Axis Point,2.0,1.91536,1.4,89.0,88.55693,3.98,trigonelline,1/1,72.74133,mg,3.6370665000000004
3.0,1.0,DoE Axis Point,2.0,1.91536,1.4,89.0,88.55693,3.98,trigonelline,1/2,89.47678,mg,2.2369195
3.0,1.0,DoE Axis Point,2.0,1.91536,1.4,89.0,88.55693,3.98,trigonelline,1/3,93.32707,mg,1.5554511666666668
3.0,1.0,DoE Axis Point,2.0,1.91536,1.4,89.0,88.55693,3.98,caffeine,1/1,125.89262,mg,6.294631
3.0,1.0,DoE Axis Point,2.0,1.91536,1.4,89.0,88.55693,3.98,caffeine,1/2,173.04168,mg,4.326042
3.0,1.0,DoE Axis Point,2.0,1.91536,1.4,89.0,88.55693,3.98,caffeine,1/3,190.69984,mg,3.1783306666666666
