exp,rep,component,c0_units,c0,c0_se,lambda_g,lambda_se,reduced_chisqr,adj_r2
5.0,3.0,trigonelline,mg_g,7.07472,0.21949,16.2902,0.81725,0.02187,0.99542
5.0,3.0,caffeine,mg_g,9.59169,0.35426,23.19315,1.41917,0.07527,0.99084
5.0,3.0,5-CQA,mg_g,6.70915,0.24125,21.07731,1.23953,0.03263,0.9921
5.0,3.0,TDS,g_g,0.24675,0.01025,18.90711,1.24245,5.53289e-05,0.98885
6.0,1.0,trigonelline,mg_g,6.69253,0.21945,16.37402,0.90255,0.02627,0.99379
6.0,1.0,caffeine,mg_g,9.62515,0.27986,22.56807,1.192,0.05842,0.99292
6.0,1.0,5-CQA,mg_g,6.43497,0.21296,20.87043,1.22881,0.03153,0.99164
6.0,1.0,TDS,g_g,0.24664,0.00493,17.8559,0.61109,1.44908e-05,0.99743
6.0,2.0,trigonelline,mg_g,7.01359,0.05025,15.9935,0.17496,0.001,0.99975
6.0,2.0,caffeine,mg_g,10.25249,0.12038,22.82665,0.45333,0.00869,0.99895
6.0,2.0,5-CQA,mg_g,6.90254,0.08031,20.91438,0.4006,0.00353,0.99908
6.0,2.0,TDS,g_g,0.25902,0.0044,17.54606,0.46663,8.63412e-06,0.9984
6.0,3.0,trigonelline,mg_g,7.24235,0.12985,14.82778,0.41719,0.00699,0.9984
6.0,3.0,caffeine,mg_g,10.35045,0.20014,21.50089,0.7197,0.02533,0.99715
6.0,3.0,5-CQA,mg_g,7.14263,0.13559,19.76107,0.63415,0.01065,0.99751
6.0,3.0,TDS,g_g,0.26854,0.0065,16.37494,0.63821,1.98214e-05,0.99672
7.0,1.0,trigonelline,mg_g,6.71619,0.23379,15.98308,1.02284,0.03541,0.99221
7.0,1.0,caffeine,mg_g,9.65543,0.35897,22.56475,1.64763,0.11358,0.98725
7.0,1.0,5-CQA,mg_g,6.89868,0.27093,20.55308,1.55502,0.05986,0.98712
7.0,1.0,TDS,g_g,0.24815,0.01066,17.47044,1.40249,8.01615e-05,0.98688
7.0,2.0,trigonelline,mg_g,6.53609,0.44507,16.45964,1.77417,0.08286,0.97596
7.0,2.0,caffeine,mg_g,9.43533,0.55861,23.99819,2.48587,0.20002,0.9725
7.0,2.0,5-CQA,mg_g,6.7228,0.46934,21.41488,2.53443,0.12535,0.96632
7.0,2.0,TDS,g_g,0.23586,0.0174,18.67702,2.25309,0.000147601,0.96766
7.0,3.0,trigonelline,mg_g,6.67758,0.27449,16.70325,1.07154,0.03141,0.99117
7.0,3.0,caffeine,mg_g,9.45718,0.32059,23.84329,1.39616,0.06432,0.99091
7.0,3.0,5-CQA,mg_g,6.97673,0.29153,21.40719,1.49568,0.04749,0.98781
7.0,3.0,TDS,g_g,0.24525,0.01256,17.85246,1.45276,7.14422e-05,0.98506
7.0,4.0,trigonelline,mg_g,6.48169,0.09714,16.42578,0.39241,0.00435,0.99875
7.0,4.0,caffeine,mg_g,9.63459,0.17795,23.08171,0.75112,0.02112,0.99713
7.0,4.0,5-CQA,mg_g,6.50972,0.125,21.06097,0.69216,0.00951,0.99722
7.0,4.0,TDS,g_g,0.24827,0.00705,17.22324,0.78933,2.42223e-05,0.99517
7.0,5.0,trigonelline,mg_g,6.8279,0.21063,15.67414,0.72392,0.0166,0.99527
7.0,5.0,caffeine,mg_g,9.90906,0.26984,22.63187,1.03326,0.0422,0.99427
7.0,5.0,5-CQA,mg_g,6.72729,0.21635,20.37484,1.06137,0.0242,0.99296
7.0,5.0,TDS,g_g,0.25503,0.01115,16.75694,1.1189,5.08208e-05,0.98966
7.0,6.0,trigonelline,mg_g,6.22097,0.22718,17.02337,0.6524,0.00392,0.99738
7.0,6.0,caffeine,mg_g,9.55232,0.35597,24.00829,1.13841,0.02136,0.99478
7.0,6.0,5-CQA,mg_g,6.31534,0.20717,21.96238,0.87218,0.00604,0.99656
7.0,6.0,TDS,g_g,0.22783,0.01142,19.15493,1.07727,1.34458e-05,0.99385
8.0,1.0,trigonelline,mg_g,7.85309,0.24728,12.43004,0.67744,0.03039,0.99487
8.0,1.0,caffeine,mg_g,11.02202,0.39325,18.36277,1.21793,0.11376,0.99031
8.0,1.0,5-CQA,mg_g,7.48776,0.26514,16.68002,1.07849,0.04727,0.99136
8.0,1.0,TDS,g_g,0.35568,0.02256,11.22955,1.20899,0.000225948,0.98022
8.0,2.0,trigonelline,mg_g,7.59757,0.11216,13.36881,0.38109,0.00907,0.99864
8.0,2.0,caffeine,mg_g,10.41396,0.20634,18.99358,0.7574,0.04038,0.99658
8.0,2.0,5-CQA,mg_g,7.26155,0.13767,17.42689,0.65748,0.01687,0.99714
8.0,2.0,TDS,g_g,0.29335,0.00801,13.69704,0.72438,4.72167e-05,0.99513
8.0,3.0,trigonelline,mg_g,7.44103,0.09563,13.55811,0.29565,0.00468,0.99912
8.0,3.0,caffeine,mg_g,10.7301,0.19618,19.18373,0.63293,0.02805,0.99737
8.0,3.0,5-CQA,mg_g,7.22478,0.12623,17.71831,0.55025,0.01078,0.99781
8.0,3.0,TDS,g_g,0.28163,0.0069,14.50779,0.61011,2.62362e-05,0.99654
9.0,1.0,trigonelline,mg_g,6.81854,0.08702,15.0768,0.33629,0.00432,0.99906
9.0,1.0,caffeine,mg_g,10.3691,0.14263,20.74646,0.53426,0.01586,0.99844
9.0,1.0,5-CQA,mg_g,7.13899,0.0955,19.26052,0.47415,0.00665,0.99864
9.0,1.0,TDS,g_g,0.26998,0.00546,15.97603,0.57155,1.80839e-05,0.99745
9.0,2.0,trigonelline,mg_g,7.04686,0.17215,16.41417,0.71963,0.01855,0.99644
9.0,2.0,caffeine,mg_g,10.6665,0.19655,23.00876,0.81463,0.03303,0.99702
9.0,2.0,5-CQA,mg_g,7.28088,0.14291,21.21168,0.78545,0.0163,0.99694
9.0,2.0,TDS,g_g,0.28004,0.00577,17.15007,0.63971,2.18156e-05,0.99728
9.0,3.0,trigonelline,mg_g,7.47796,0.29906,15.20614,0.9913,0.04166,0.99189
9.0,3.0,caffeine,mg_g,11.13021,0.3918,21.09025,1.32079,0.1028,0.99067
9.0,3.0,5-CQA,mg_g,7.6223,0.25991,19.17389,1.13249,0.04103,0.99217
9.0,3.0,TDS,g_g,0.28502,0.00808,16.27332,0.76549,3.3013e-05,0.99548
10.0,1.0,trigonelline,mg_g,7.61929,0.29086,12.03836,0.7381,0.02678,0.99483
10.0,1.0,caffeine,mg_g,10.26121,0.55639,17.53238,1.57136,0.15038,0.98442
10.0,1.0,5-CQA,mg_g,7.25979,0.36511,16.5137,1.36451,0.06105,0.98743
10.0,1.0,TDS,g_g,0.26587,0.0133,13.68227,1.10828,6.58657e-05,0.98976
10.0,2.0,trigonelline,mg_g,7.23384,0.2519,14.87979,0.80802,0.02566,0.99426
10.0,2.0,caffeine,mg_g,9.95833,0.35762,20.51575,1.24675,0.07485,0.99109
10.0,2.0,5-CQA,mg_g,7.03738,0.26119,19.15372,1.1811,0.03711,0.99122
10.0,2.0,TDS,g_g,0.25539,0.00775,16.44571,0.79732,2.74318e-05,0.99508
10.0,3.0,trigonelline,mg_g,7.28602,0.22159,14.86197,0.71973,0.02124,0.99549
10.0,3.0,caffeine,mg_g,10.2149,0.28796,20.89612,1.01979,0.05224,0.99426
10.0,3.0,5-CQA,mg_g,7.27898,0.22213,19.46745,1.00967,0.02892,0.99381
10.0,3.0,TDS,g_g,0.26023,0.00672,16.34553,0.68723,2.18457e-05,0.99635
11.0,1.0,trigonelline,mg_g,7.57525,0.25928,15.33458,0.86826,0.03359,0.99378
11.0,1.0,caffeine,mg_g,10.42253,0.23963,21.61188,0.89403,0.04081,0.99581
11.0,1.0,5-CQA,mg_g,7.6395,0.19479,20.03689,0.90094,0.02511,0.9953
11.0,1.0,TDS,g_g,0.27362,0.00926,16.62909,0.9489,4.69118e-05,0.99324
