exp,flow_set_ml_s,grind_level_set,temp_set_C,rep,fraction,mass_fraction_g,mass_accumulated_g,c_trigonelline_mg_g,c_caffeine_mg_g,c_5cqa_mg_g
4.0,2.0,2.0,89.0,1.0,2.0,6.6572,9.9021,3.67001,6.20307,4.2318
4.0,2.0,2.0,89.0,1.0,3.0,6.4623,16.46185,2.41255,4.46204,2.99513
4.0,2.0,2.0,89.0,1.0,5.0,5.8643,28.41955,1.21248,2.72982,1.71614
4.0,2.0,2.0,89.0,1.0,7.0,5.7076,39.8323,0.68288,1.79668,1.12119
4.0,2.0,2.0,89.0,1.0,10.0,6.13004,56.93092,0.31827,1.05266,0.62208
4.0,2.0,2.0,89.0,2.0,1.0,7.3346,3.6673,5.44488,8.46138,5.87907
4.0,2.0,2.0,89.0,2.0,2.0,6.0466,10.3579,3.42899,6.12544,4.06892
4.0,2.0,2.0,89.0,2.0,3.0,6.4979,16.63015,2.33588,4.51763,2.97358
4.0,2.0,2.0,89.0,2.0,5.0,5.9223,28.89175,1.19023,2.81364,1.74212
4.0,2.0,2.0,89.0,2.0,7.0,5.8798,40.8421,0.67472,1.85206,1.13882
4.0,2.0,2.0,89.0,2.0,10.0,6.3917,58.23895,0.29391,1.00778,0.58774
4.0,2.0,2.0,89.0,3.0,1.0,6.762,3.381,5.58559,8.56101,6.07163
4.0,2.0,2.0,89.0,3.0,2.0,6.3069,9.91545,3.4596,6.12377,4.15078
4.0,2.0,2.0,89.0,3.0,3.0,6.7357,16.43675,2.29799,4.38253,2.94889
4.0,2.0,2.0,89.0,3.0,5.0,6.6315,29.56715,1.12282,2.61253,1.65022
4.0,2.0,2.0,89.0,3.0,7.0,5.7644,42.4464,0.66693,1.84321,1.15324
4.0,2.0,2.0,89.0,3.0,10.0,5.8445,59.51146,0.31787,1.10291,0.65704
5.0,2.0,1.7,80.0,1.0,1.0,6.9038,3.4519,6.02066,9.65971,6.36027
5.0,2.0,1.7,80.0,1.0,2.0,5.9261,9.86685,3.99827,6.97791,4.43579
5.0,2.0,1.7,80.0,1.0,3.0,5.6615,15.66065,2.43725,4.58568,2.89452
5.0,2.0,1.7,80.0,1.0,5.0,5.4198,26.757,1.31999,2.93996,1.76149
