exp,flow_set_ml_s,grind_level_set,temp_set_C,rep,fraction,mass_fraction_g,mass_accumulated_g,c_trigonelline_mg_g,c_caffeine_mg_g,c_5cqa_mg_g
15.0,3.0,2.0,98.0,2.0,3.0,5.8873,18.01645,2.09056,4.24293,2.68575
15.0,3.0,2.0,98.0,2.0,5.0,5.693,29.6077,1.22903,2.86996,1.73247
15.0,3.0,2.0,98.0,2.0,7.0,5.0706,40.5521,0.77426,2.00507,1.21236
15.0,3.0,2.0,98.0,2.0,10.0,5.0408,56.166,0.36522,1.2136,0.6934
15.0,3.0,2.0,98.0,3.0,1.0,8.0238,4.0119,5.27683,8.03568,5.69946
15.0,3.0,2.0,98.0,3.0,2.0,6.357,11.2023,3.1614,5.62222,3.72881
15.0,3.0,2.0,98.0,3.0,3.0,6.1659,17.46375,2.06553,3.94381,2.60247
15.0,3.0,2.0,98.0,3.0,5.0,5.9683,29.58895,1.21499,2.7208,1.69828
15.0,3.0,2.0,98.0,3.0,7.0,5.7181,41.48435,0.732,1.83323,1.14362
15.0,3.0,2.0,98.0,3.0,10.0,5.5798,58.0927,0.3498,1.09491,0.64922
